concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
daily_who_question,daily,family,basic,❓,blue,casual home,question,누구,nu-gu,어떤 사람을 가리켜 묻는 말,interrogative,어느 분,없음,누구든지,누구냐,누구인지,who,/huː/,what or which person,interrogative,which person,nobody,whoever,who's,who is,谁,shui,用来询问什么人,interrogative,哪个人,没有人,谁的,谁是,什么人,誰,dare,どの人か尋ねる語,interrogative,どなた,誰も,誰でも,誰が,誰の,quién,ki-en,qué persona,interrogative,cuál persona,nadie,quienquiera,quién es,de quién,누구세요?,Who are you?,你是谁?,あなたは誰ですか?,¿Quién eres?
daily_where_question,daily,family,basic,📍,green,casual home,question,어디,eo-di,어떤 장소를 가리켜 묻는 말,interrogative,어느 곳,없음,어디든지,어디냐,어디인지,where,/weər/,in or to what place,interrogative,what place,nowhere,wherever,where's,where is,哪里,na li,在什么地方,interrogative,什么地方,没地方,哪儿,在哪,到哪,どこ,doko,どの場所か尋ねる語,interrogative,どちら,どこも,どこでも,どこが,どこの,dónde,don-de,en qué lugar,interrogative,qué lugar,ningún lugar,dondequiera,dónde está,hacia dónde,어디 가세요?,Where are you going?,你去哪里?,どこに行きますか?,¿A dónde vas?
daily_when_question,daily,family,basic,⏰,orange,casual home,question,언제,eon-je,어떤 때를 가리켜 묻는 말,interrogative,몇 시,없음,언제든지,언제냐,언제인지,when,/wen/,at what time,interrogative,what time,never,whenever,when's,when is,什么时候,shen me shi hou,在什么时间,interrogative,几点,从不,什么时候都,几时,何时,いつ,itsu,どの時か尋ねる語,interrogative,いつごろ,いつも,いつでも,いつが,いつの,cuándo,kwan-do,en qué momento,interrogative,qué momento,nunca,cuando sea,cuándo es,para cuándo,언제 와요?,When are you coming?,你什么时候来?,いつ来ますか?,¿Cuándo vienes?
daily_what_question,daily,family,basic,❔,purple,casual home,question,무엇,mu-eot,어떤 것을 가리켜 묻는 말,interrogative,뭐,없음,무엇이든,무엇이냐,무엇인지,what,/wʌt/,which thing,interrogative,which thing,nothing,whatever,what's,what is,什么,shen me,什么东西,interrogative,哪个东西,什么都没有,什么都,什么是,什么的,何,nani,どんなことか尋ねる語,interrogative,なんで,何も,何でも,何が,何の,qué,ke,qué cosa,interrogative,cuál cosa,nada,cualquier cosa,qué es,de qué,무엇을 해요?,What are you doing?,你在做什么?,何をしていますか?,¿Qué estás haciendo?
daily_why_question,daily,family,basic,🤔,yellow,casual home,question,왜,wae,어떤 이유를 가리켜 묻는 말,interrogative,어째서,없음,왜냐하면,왜냐,왜인지,why,/waɪ/,for what reason,interrogative,how come,없음,because,why not,the reason why,为什么,wei shen me,什么原因,interrogative,怎么,没有,因为,为何,什么缘故,なぜ,naze,どんな理由か尋ねる語,interrogative,どうして,없음,なぜなら,なぜか,理由,por qué,por-ke,por qué razón,interrogative,cómo es que,없음,porque,por qué no,la razón,왜 그래요?,Why is that?,为什么?,なぜですか?,¿Por qué?
daily_how_question,daily,family,basic,🛠️,cyan,casual home,question,어떻게,eo-tteoh-ge,어떤 방법을 가리켜 묻는 말,interrogative,어떤 식으로,없음,어떻게든,어떻게나,어떻게인지,how,/haʊ/,in what way,interrogative,in which way,없음,however,how to,the way how,怎么,zen me,用什么方法,interrogative,怎样,없음,怎么样,如何,怎么办,どう,dou,どんな方法か尋ねる語,interrogative,いかに,없음,どうやって,どうか,方法,cómo,ko-mo,de qué manera,interrogative,de qué modo,없음,como sea,cómo se,la forma,어떻게 해요?,How do you do it?,怎么做?,どうやってしますか?,¿Cómo lo haces?
daily_how_much_question,daily,family,basic,💰,pink,casual home,question,얼마,eol-ma,어떤 수량이나 가격을 묻는 말,interrogative,몇 개,없음,얼마든지,얼마나,얼마인지,how much,/haʊ mʌtʃ/,what amount or price,interrogative,what price,none,however much,how much is,the cost,多少,duo shao,什么数量或价格,interrogative,什么价格,없음,多少钱,多少个,价格,いくら,ikura,どのくらいの量や値段か尋ねる語,interrogative,どれくらい,없음,いくらでも,いくらか,値段,cuánto,kwan-to,qué cantidad o precio,interrogative,qué precio,없음,cuanto sea,cuánto cuesta,el precio,얼마예요?,How much is it?,多少钱?,いくらですか?,¿Cuánto cuesta?
daily_which_question,daily,family,basic,👆,red,casual home,question,어떤,eo-tteon,여러 개 중에서 구별하여 묻는 말,interrogative,어느,모든,어떤지,어떤 것,어떤 사람,which,/wɪtʃ/,what one of a group,interrogative,what,all,whichever,which one,which is,哪个,na ge,几个中的哪一个,interrogative,什么,所有,哪一个,哪个是,哪种,どれ,dore,いくつかの中のどれか尋ねる語,interrogative,どの,すべて,どれでも,どれが,どの人,cuál,kwal,qué uno de un grupo,interrogative,qué,todos,cualquiera,cuál es,cuál de,어떤 것이 좋아요?,Which one do you like?,你喜欢哪个?,どれが好きですか?,¿Cuál te gusta?
daily_live_verb,daily,family,basic,🏠,brown,casual home,question,살다,sal-da,어떤 곳에 거주하다,verb,거주하다,죽다,살아가다,거주지,생활하다,live,/lɪv/,to have your home in a place,verb,reside,die,living,residence,live in,住,zhu,在某个地方居住,verb,居住,死,生活,住所,居住地,住む,sumu,ある場所に住んでいること,verb,居住する,死ぬ,住んでいる,住所,住居,vivir,bi-bir,tener tu hogar en un lugar,verb,residir,morir,viviendo,residencia,vivir en,우리는 서울에 살아요,We live in Seoul,我们住在首尔,私たちはソウルに住んでいます,Vivimos en Seúl
daily_work_verb,daily,family,basic,💼,gray,casual home,question,일하다,il-ha-da,직업을 가지고 돈을 벌다,verb,근무하다,쉬다,일거리,직장,근무지,work,/wɜːrk/,to do a job to earn money,verb,labor,rest,working,workplace,work at,工作,gong zuo,做工作赚钱,verb,劳动,休息,工作的,工作场所,上班,働く,hataraku,仕事をしてお金を稼ぐこと,verb,勤務する,休む,働いている,職場,勤務先,trabajar,tra-ba-har,hacer un trabajo para ganar dinero,verb,laborar,descansar,trabajando,lugar de trabajo,trabajar en,아버지는 회사에서 일해요,Father works at a company,爸爸在公司工作,お父さんは会社で働いています,Papá trabaja en una empresa
