concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,'안녕하세요' 인사,감탄사 + 인사,처음 인사할 때 '안녕하세요'를 사용하는 구조,처음 만날 때는 '안녕하세요'라고 자연스럽게 건네세요.,Greeting: Hello,Interjection + greeting,Using Hello as a polite greeting,Use 'Hello' when greeting someone politely at home.,안녕하세요_日本語の使い方,挨拶 + 안녕하세요_日本語,挨拶で안녕하세요_日本語を使う方法,最初に안녕하세요_日本語と言います。,안녕하세요_中文的用法,问候 + 안녕하세요_中文,在问候时使用안녕하세요_中文的方法,首先说안녕하세요_中文。,Uso de 안녕하세요_español,Saludo + 안녕하세요_español,Cómo usar 안녕하세요_español en los saludos,Primero digo 안녕하세요_español.,안녕하세요,Hello,안녕하세요_日本語,안녕하세요_中文,안녕하세요_español
daily_hi_greeting,daily,routine,basic,"casual,home",greeting,'안녕' 인사,감탄사 + 인사,처음 인사할 때 '안녕'를 사용하는 구조,처음 만날 때는 '안녕'라고 자연스럽게 건네세요.,Greeting: Hi,Interjection + greeting,Using Hi as a polite greeting,Use 'Hi' when greeting someone politely at home.,안녕_日本語の使い方,挨拶 + 안녕_日本語,挨拶で안녕_日本語を使う方法,最初に안녕_日本語と言います。,안녕_中文的用法,问候 + 안녕_中文,在问候时使用안녕_中文的方法,首先说안녕_中文。,Uso de 안녕_español,Saludo + 안녕_español,Cómo usar 안녕_español en los saludos,Primero digo 안녕_español.,안녕,Hi,안녕_日本語,안녕_中文,안녕_español
daily_hey_there_casual_call,daily,routine,basic,"casual,home",greeting,'안녕 거기' 인사,감탄사 + 인사,처음 인사할 때 '안녕 거기'를 사용하는 구조,처음 만날 때는 '안녕 거기'라고 자연스럽게 건네세요.,Greeting: Hey there,Interjection + greeting,Using Hey there as a polite greeting,Use 'Hey there' when greeting someone politely at home.,안녕 거기_日本語の使い方,挨拶 + 안녕 거기_日本語,挨拶で안녕 거기_日本語を使う方法,最初に안녕 거기_日本語と言います。,안녕 거기_中文的用法,问候 + 안녕 거기_中文,在问候时使用안녕 거기_中文的方法,首先说안녕 거기_中文。,Uso de 안녕 거기_español,Saludo + 안녕 거기_español,Cómo usar 안녕 거기_español en los saludos,Primero digo 안녕 거기_español.,안녕 거기,Hey there,안녕 거기_日本語,안녕 거기_中文,안녕 거기_español
daily_good_morning_morning_greeting,daily,routine,basic,"casual,home",greeting,'좋은 아침이에요' 인사,감탄사 + 인사,처음 인사할 때 '좋은 아침이에요'를 사용하는 구조,처음 만날 때는 '좋은 아침이에요'라고 자연스럽게 건네세요.,Greeting: Good morning,Interjection + greeting,Using Good morning as a polite greeting,Use 'Good morning' when greeting someone politely at home.,좋은 아침이에요_日本語の使い方,挨拶 + 좋은 아침이에요_日本語,挨拶で좋은 아침이에요_日本語を使う方法,最初に좋은 아침이에요_日本語と言います。,좋은 아침이에요_中文的用法,问候 + 좋은 아침이에요_中文,在问候时使用좋은 아침이에요_中文的方法,首先说좋은 아침이에요_中文。,Uso de 좋은 아침이에요_español,Saludo + 좋은 아침이에요_español,Cómo usar 좋은 아침이에요_español en los saludos,Primero digo 좋은 아침이에요_español.,좋은 아침이에요,Good morning,좋은 아침이에요_日本語,좋은 아침이에요_中文,좋은 아침이에요_español
daily_good_afternoon_afternoon_greeting,daily,routine,basic,"casual,home",greeting,'좋은 오후예요' 인사,감탄사 + 인사,처음 인사할 때 '좋은 오후예요'를 사용하는 구조,처음 만날 때는 '좋은 오후예요'라고 자연스럽게 건네세요.,Greeting: Good afternoon,Interjection + greeting,Using Good afternoon as a polite greeting,Use 'Good afternoon' when greeting someone politely at home.,좋은 오후예요_日本語の使い方,挨拶 + 좋은 오후예요_日本語,挨拶で좋은 오후예요_日本語を使う方法,最初に좋은 오후예요_日本語と言います。,좋은 오후예요_中文的用法,问候 + 좋은 오후예요_中文,在问候时使用좋은 오후예요_中文的方法,首先说좋은 오후예요_中文。,Uso de 좋은 오후예요_español,Saludo + 좋은 오후예요_español,Cómo usar 좋은 오후예요_español en los saludos,Primero digo 좋은 오후예요_español.,좋은 오후예요,Good afternoon,좋은 오후예요_日本語,좋은 오후예요_中文,좋은 오후예요_español
daily_good_evening_evening_greeting,daily,routine,basic,"casual,home",greeting,'좋은 저녁이에요' 인사,감탄사 + 인사,처음 인사할 때 '좋은 저녁이에요'를 사용하는 구조,처음 만날 때는 '좋은 저녁이에요'라고 자연스럽게 건네세요.,Greeting: Good evening,Interjection + greeting,Using Good evening as a polite greeting,Use 'Good evening' when greeting someone politely at home.,좋은 저녁이에요_日本語の使い方,挨拶 + 좋은 저녁이에요_日本語,挨拶で좋은 저녁이에요_日本語を使う方法,最初に좋은 저녁이에요_日本語と言います。,좋은 저녁이에요_中文的用法,问候 + 좋은 저녁이에요_中文,在问候时使用좋은 저녁이에요_中文的方法,首先说좋은 저녁이에요_中文。,Uso de 좋은 저녁이에요_español,Saludo + 좋은 저녁이에요_español,Cómo usar 좋은 저녁이에요_español en los saludos,Primero digo 좋은 저녁이에요_español.,좋은 저녁이에요,Good evening,좋은 저녁이에요_日本語,좋은 저녁이에요_中文,좋은 저녁이에요_español
daily_good_night_night_wish,daily,routine,basic,"casual,home",greeting,'좋은 밤 되세요' 인사,감탄사 + 인사,처음 인사할 때 '좋은 밤 되세요'를 사용하는 구조,처음 만날 때는 '좋은 밤 되세요'라고 자연스럽게 건네세요.,Greeting: Good night,Interjection + greeting,Using Good night as a polite greeting,Use 'Good night' when greeting someone politely at home.,좋은 밤 되세요_日本語の使い方,挨拶 + 좋은 밤 되세요_日本語,挨拶で좋은 밤 되세요_日本語を使う方法,最初に좋은 밤 되세요_日本語と言います。,좋은 밤 되세요_中文的用法,问候 + 좋은 밤 되세요_中文,在问候时使用좋은 밤 되세요_中文的方法,首先说좋은 밤 되세요_中文。,Uso de 좋은 밤 되세요_español,Saludo + 좋은 밤 되세요_español,Cómo usar 좋은 밤 되세요_español en los saludos,Primero digo 좋은 밤 되세요_español.,좋은 밤 되세요,Good night,좋은 밤 되세요_日本語,좋은 밤 되세요_中文,좋은 밤 되세요_español
daily_welcome_welcome,daily,routine,basic,"casual,home",greeting,'환영합니다' 인사,감탄사 + 인사,처음 인사할 때 '환영합니다'를 사용하는 구조,처음 만날 때는 '환영합니다'라고 자연스럽게 건네세요.,Greeting: Welcome,Interjection + greeting,Using Welcome as a polite greeting,Use 'Welcome' when greeting someone politely at home.,환영합니다_日本語の使い方,挨拶 + 환영합니다_日本語,挨拶で환영합니다_日本語を使う方法,最初に환영합니다_日本語と言います。,환영합니다_中文的用法,问候 + 환영합니다_中文,在问候时使用환영합니다_中文的方法,首先说환영합니다_中文。,Uso de 환영합니다_español,Saludo + 환영합니다_español,Cómo usar 환영합니다_español en los saludos,Primero digo 환영합니다_español.,환영합니다,Welcome,환영합니다_日本語,환영합니다_中文,환영합니다_español
daily_long_time_no_see_reunion_greeting,daily,routine,basic,"casual,home",greeting,'오랜만이에요' 인사,감탄사 + 인사,처음 인사할 때 '오랜만이에요'를 사용하는 구조,처음 만날 때는 '오랜만이에요'라고 자연스럽게 건네세요.,Greeting: Long time no see,Interjection + greeting,Using Long time no see as a polite greeting,Use 'Long time no see' when greeting someone politely at home.,오랜만이에요_日本語の使い方,挨拶 + 오랜만이에요_日本語,挨拶で오랜만이에요_日本語を使う方法,最初に오랜만이에요_日本語と言います。,오랜만이에요_中文的用法,问候 + 오랜만이에요_中文,在问候时使用오랜만이에요_中文的方法,首先说오랜만이에요_中文。,Uso de 오랜만이에요_español,Saludo + 오랜만이에요_español,Cómo usar 오랜만이에요_español en los saludos,Primero digo 오랜만이에요_español.,오랜만이에요,Long time no see,오랜만이에요_日本語,오랜만이에요_中文,오랜만이에요_español
daily_nice_to_meet_you_first_meeting,daily,routine,basic,"casual,home",greeting,'만나서 반가워요' 인사,감탄사 + 인사,처음 인사할 때 '만나서 반가워요'를 사용하는 구조,처음 만날 때는 '만나서 반가워요'라고 자연스럽게 건네세요.,Greeting: Nice to meet you,Interjection + greeting,Using Nice to meet you as a polite greeting,Use 'Nice to meet you' when greeting someone politely at home.,만나서 반가워요_日本語の使い方,挨拶 + 만나서 반가워요_日本語,挨拶で만나서 반가워요_日本語を使う方法,最初に만나서 반가워요_日本語と言います。,만나서 반가워요_中文的用法,问候 + 만나서 반가워요_中文,在问候时使用만나서 반가워요_中文的方法,首先说만나서 반가워요_中文。,Uso de 만나서 반가워요_español,Saludo + 만나서 반가워요_español,Cómo usar 만나서 반가워요_español en los saludos,Primero digo 만나서 반가워요_español.,만나서 반가워요,Nice to meet you,만나서 반가워요_日本語,만나서 반가워요_中文,만나서 반가워요_español
