concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_goodmorning_greeting,daily,routine,basic,"casual,home",greeting,"오늘도 좋은 아침이에요, 잘 주무셨어요?","Good morning, did you sleep well?","おはようございます、よく眠れましたか？","早上好，睡得好吗？","¡Buenos días! ¿Dormiste bien?",좋은 아침,good morning,おはよう,早上好,buenos días
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,"처음 뵙겠습니다, 반갑습니다.","Hello, pleased to meet you.","はじめまして、よろしくお願いします。","你好，初次见面。","¡Hola! Encantado de conocerte.",안녕하세요,hello,こんにちは,你好,hola
daily_howareyou_greeting,daily,routine,basic,"casual,home",greeting,"안녕하세요, 오늘 기분은 어떠세요?","Hello, how are you feeling today?","こんにちは、今日の気分はどうですか？","你好，今天心情如何？","¡Hola! ¿Cómo te sientes hoy?",어떠세요,how are you,お元気ですか,你好吗,cómo estás
daily_sleep_greeting,daily,routine,basic,"casual,home",greeting,"이제 주무실 시간이에요, 좋은 꿈 꾸세요.","It's bedtime now, sweet dreams.","もう寝る時間です、良い夢を。","该睡觉了，祝你好梦。","Es hora de dormir, dulces sueños.",잘 자요,good night,おやすみなさい,晚安,buenas noches
daily_wake_greeting,daily,routine,basic,"casual,home",greeting,"일어나세요, 새로운 하루가 시작됐어요.","Wake up, a new day has begun.","起きてください、新しい一日が始まりました。","该起床了，新的一天开始了。","¡Despierta, un nuevo día ha comenzado!",일어나세요,wake up,起きて,起床了,¡despierta!
daily_welcome_greeting,daily,routine,basic,"casual,home",greeting,"우리 집에 오신 걸 환영합니다. 편하게 계세요.","Welcome to our home. Make yourself comfortable.","私たちの家へようこそ。どうぞくつろいでください。","欢迎来到我们家，请随意。","Bienvenido a nuestra casa. Siéntete como en casa.",환영해요,welcome,ようこそ,欢迎,bienvenido
daily_thanks_greeting,daily,routine,basic,"casual,home",greeting,"도와주셔서 정말 감사합니다. 큰 도움이 되었어요.","Thank you so much for your help. It was really helpful.","ご協力ありがとうございます。とても助かりました。","非常感谢你的帮助，这对我很有帮助。","Muchas gracias por tu ayuda. Fue muy útil.",감사합니다,thank you,ありがとう,谢谢,gracias
daily_sorry_greeting,daily,routine,basic,"casual,home",greeting,"죄송합니다. 다음에는 이런 실수 없도록 하겠습니다.","I'm sorry. I'll make sure it doesn't happen again.","申し訳ありません。次からはこのような間違いがないようにします。","对不起，下次我会注意不犯同样的错误。","Lo siento. Me aseguraré de que no vuelva a suceder.",죄송합니다,sorry,すみません,对不起,lo siento
daily_bye_greeting,daily,routine,basic,"casual,home",greeting,"안녕히 계세요. 다음에 또 뵙겠습니다.","Goodbye. See you next time.","さようなら。また会いましょう。","再见，下次再见。","Adiós. Hasta la próxima vez.",안녕히 계세요,goodbye,さようなら,再见,adiós
daily_night_greeting,daily,routine,basic,"casual,home",greeting,"안녕히 주무세요. 좋은 꿈 꾸세요.","Good night. Sweet dreams.","おやすみなさい。良い夢を。","晚安，祝你好梦。","Buenas noches. Dulces sueños.",안녕히 주무세요,good night,おやすみ,晚安,buenas noches
