domain,category,emoji,difficulty,quiz_frequency,korean_word,korean_pronunciation,korean_definition,korean_part_of_speech,korean_level,english_word,english_pronunciation,english_definition,english_part_of_speech,english_level,japanese_word,japanese_pronunciation,japanese_definition,japanese_part_of_speech,japanese_level,chinese_word,chinese_pronunciation,chinese_definition,chinese_part_of_speech,chinese_level,unified_grammar_tags,unified_basic_desc,example_korean,example_english,example_japanese,example_chinese
daily,greeting,👋,beginner,very_high,안녕하세요,an-nyeong-ha-se-yo,상대방에게 인사할 때 쓰는 정중한 표현,감탄사,beginner,hello,həˈloʊ,a greeting used when meeting someone,interjection,beginner,こんにちは,konnichiwa,昼間の挨拶として使用される一般적な表현,感動詞,初級,你好,nǐ hǎo,日常见面时使用的问候语,叹词,初级,interjection|formality:polite|usage_context:greeting|register:universal,정중한 기본 인사말,안녕하세요. 만나서 반갑습니다.,Hello. Nice to meet you.,こんにちは。はじめまして。,你好。很高兴见到你。
food,fruit,🍎,beginner,high,사과,sa-gwa,둥글고 단맛이 나는 열매,명사,beginner,apple,ˈæpl,a round fruit with red or green skin,noun,beginner,りんご,ringo,果物の一種,名詞,初級,苹果,píng guǒ,一种水果,名词,初级,noun|category:food|subcategory:fruit|shape:round|taste:sweet,둥근 모양의 단 과일,나는 사과를 좋아합니다.,I like apples.,私はりんごが好きです。,我喜欢苹果。
daily,weather,🌧️,beginner,medium,비,bi,하늘에서 내리는 물,명사,beginner,rain,reɪn,water that falls from clouds,noun,beginner,雨,ame,空から降る水,名詞,初級,雨,yǔ,从云中落下的水,名词,初级,noun|natural_phenomenon:weather|element:water|from:sky,하늘에서 내리는 자연 현상,오늘은 비가 많이 옵니다.,It's raining a lot today.,今日はたくさん雨が降っています。,今天下了很多雨。
action,daily,🏃,intermediate,medium,뛰다,ttwi-da,빠르게 달리는 행위,동사,intermediate,run,rʌn,to move quickly on foot,verb,beginner,走る,hashiru,速く移動する動作,動詞,初級,跑,pǎo,快速移动的动作,动词,初级,verb|action_type:movement|speed:fast|body_part:legs|intransitive:yes,빠른 이동 동작,나는 매일 아침에 뛰어요.,I run every morning.,私は毎朝走ります。,我每天早上跑步。
education,subject,🧮,intermediate,high,수학,su-hak,숫자와 공식을 다루는 학문,명사,intermediate,mathematics,ˌmæθəˈmætɪks,the study of numbers and formulas,noun,intermediate,数学,suugaku,数字と公式を扱う学問,名詞,中級,数学,shù xué,研究数字和公式的科学,名词,中级,noun|abstract:yes|field:academic|subject:science|complexity:high,수와 공식을 다루는 학문,수학은 제 가장 좋아하는 과목입니다.,Mathematics is my favorite subject.,数学は私の一番好きな科目です。,数学是我最喜欢的学科。
emotion,feeling,😊,beginner,medium,행복,haeng-bok,기쁨을 느끼는 상태,명사,beginner,happiness,ˈhæpinəs,state of feeling joy,noun,intermediate,幸せ,shiawase,喜びを感じる状態,名詞,初級,幸福,xìng fú,感到喜悦的状态,名词,初级,noun|abstract:yes|emotion_type:positive|intensity:strong|concept:wellbeing,긍정적인 감정 상태,행복은 건강에 좋습니다.,Happiness is good for health.,幸せは健康に良いです。,幸福对健康有好处。
daily,beverage,☕,beginner,high,커피,keo-pi,카페인이 들어있는 음료,명사,beginner,coffee,ˈkɔfi,a caffeinated beverage,noun,beginner,コーヒー,koohii,カフェインの入った飲み物,名詞,初級,咖啡,kā fēi,含有咖啡因的饮料,名词,初级,noun|category:beverage|ingredient:caffeine|temperature:hot|origin:plant,카페인이 든 음료,아침에 커피를 마십니다.,I drink coffee in the morning.,朝にコーヒーを飲みます。,我早上喝咖啡。
family,relationship,👪,beginner,high,어머니,eo-meo-ni,여성 부모,명사,beginner,mother,ˈmʌðər,female parent,noun,beginner,母,haha,女性の親,名詞,初級,母亲,mǔ qīn,女性家长,名词,初级,noun|relationship:family|generation:parent|gender:female|formality:respectful,여성 부모 관계,어머니는 요리를 잘하십니다.,My mother cooks well.,母は料理が上手です。,我母亲做饭很好。
description,color,🔴,beginner,medium,빨간색,ppal-gan-saek,불의 색깔,명사,beginner,red,red,the color of fire,adjective,beginner,赤,aka,火の色,名詞,初級,红色,hóng sè,火的颜色,名词,初级,adjective|color_type:primary|brightness:bright|wavelength:long|association:fire,기본 색상 중 하나,그 꽃은 빨간색입니다.,That flower is red.,その花は赤いです。,那朵花是红色的。
transportation,vehicle,🚆,beginner,medium,기차,gi-cha,철로 위를 달리는 대중교통,명사,beginner,train,treɪn,a public transport that runs on rails,noun,beginner,電車,densha,線路の上を走る公共交通機関,名詞,初級,火车,huǒ chē,铁路上行驶的公共交通工具,名词,初级,noun|category:transportation|type:public_transport|track:rail|capacity:multiple_passenger,철로를 이용한 대중교통,기차로 서울에 갈 거예요.,I will go to Seoul by train.,電車でソウルに行きます。,我将乘火车去首尔。 
