concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,인사 표현,안녕하세요,일상적인 인사를 할 때 사용하는 기본 표현,안녕하세요? 처음 뵙겠습니다,Basic Greeting,Hello + polite form,Basic expression used for daily greetings,Hello? Nice to meet you,基本的な挨拶,こんにちは + 敬語,日常的な挨拶をする時に使う基本表現,こんにちは？初めてお目にかかります,基本问候,你好 + 礼貌形式,日常问候时使用的基本表达,你好？初次见面,Saludo básico,Hola + forma cortés,Expresión básica usada para saludos diarios,¿Hola? Mucho gusto,안녕,hello,こんにちは,你好,hola
daily_family_relationship,daily,family,basic,"home,social",description,가족 관계 설명,우리 가족은 + 형용사,가족 구성원을 소개하고 설명하는 표현,우리 가족은 화목합니다,Family Description,Our family is + adjective,Expression to introduce and describe family members,Our family is harmonious,家族関係の説明,私たちの家族は + 形容詞,家族構成員を紹介し説明する表現,私たちの家族は仲が良いです,家庭关系描述,我们家 + 形容词,介绍和描述家庭成员的表达,我们家很和睦,Descripción familiar,Nuestra familia es + adjetivo,Expresión para presentar y describir miembros de la familia,Nuestra familia es armoniosa,가족,family,家族,家庭,familia
daily_morning_time,daily,routine,basic,"casual,home",description,시간 표현,아침에 + 동사,아침 활동을 나타내는 시간 표현,아침에 일찍 일어납니다,Time Expression,In the morning + verb,Time expression indicating morning activities,I wake up early in the morning,時間表現,朝に + 動詞,朝の活動を表す時間表現,朝早く起きます,时间表达,早上 + 动词,表示早晨活动的时间表达,我早上起得很早,Expresión temporal,Por la mañana + verbo,Expresión temporal que indica actividades matutinas,Me levanto temprano por la mañana,아침,morning,朝,早晨,mañana
daily_home_place,daily,household,basic,"home,casual",description,장소 표현,집에서 + 동사,집에서 하는 활동을 나타내는 표현,집에서 편안히 쉽니다,Place Expression,At home + verb,Expression indicating activities done at home,I rest comfortably at home,場所表現,家で + 動詞,家でする活動を表す表現,家でゆっくり休みます,地点表达,在家 + 动词,表示在家进行活动的表达,我在家舒服地休息,Expresión de lugar,En casa + verbo,Expresión que indica actividades hechas en casa,Descanso cómodamente en casa,집,home,家,家,casa
daily_smile_emotion,daily,emotions,basic,"social,casual",emotion,감정 표현,미소를 + 동사,기쁨과 행복을 나타내는 감정 표현,미소를 지으며 인사합니다,Emotion Expression,Smile + verb,Emotional expression showing joy and happiness,I greet with a smile,感情表現,笑顔で + 動詞,喜びと幸せを表す感情表現,笑顔で挨拶します,情感表达,微笑 + 动词,表示喜悦和幸福的情感表达,我微笑着打招呼,Expresión emocional,Sonrisa + verbo,Expresión emocional que muestra alegría y felicidad,Saludo con una sonrisa,미소,smile,笑顔,微笑,sonrisa
daily_school_place,daily,routine,basic,"formal,school",description,학교 활동 표현,학교에서 + 동사,학교에서 하는 활동을 나타내는 표현,학교에서 열심히 공부합니다,School Activity Expression,At school + verb,Expression indicating activities done at school,I study hard at school,学校活動表現,学校で + 動詞,学校でする活動を表す表現,学校で一生懸命勉強します,学校活动表达,在学校 + 动词,表示在学校进行活动的表达,我在学校努力学习,Expresión de actividad escolar,En la escuela + verbo,Expresión que indica actividades hechas en la escuela,Estudio mucho en la escuela,학교,school,学校,学校,escuela
daily_food_need,daily,household,basic,"home,casual",description,음식 관련 표현,밥을 + 동사,식사와 관련된 기본 표현,밥을 맛있게 먹습니다,Food-related Expression,Rice/meal + verb,Basic expression related to eating,I eat rice deliciously,食事関連表現,ご飯を + 動詞,食事に関連した基本表現,ご飯を美味しく食べます,饮食相关表达,吃饭 + 动词,与用餐相关的基本表达,我好好吃饭,Expresión relacionada con comida,Arroz/comida + verbo,Expresión básica relacionada con comer,Como arroz deliciosamente,밥,rice,ご飯,米饭,arroz
daily_friend_relationship,daily,relationships,basic,"social,casual",description,친구 관계 표현,친구와 + 동사,친구와의 관계와 활동을 나타내는 표현,친구와 즐겁게 놉니다,Friend Relationship Expression,With friend + verb,Expression indicating relationship and activities with friends,I play happily with friends,友達関係表現,友達と + 動詞,友達との関係と活動を表す表現,友達と楽しく遊びます,朋友关系表达,和朋友 + 动词,表示与朋友关系和活动的表达,我和朋友愉快地玩,Expresión de relación amistosa,Con amigo + verbo,Expresión que indica relación y actividades con amigos,Juego felizmente con amigos,친구,friend,友達,朋友,amigo
daily_water_need,daily,household,basic,"home,casual",description,음료 관련 표현,물을 + 동사,물이나 음료를 마시는 표현,물을 시원하게 마십니다,Beverage Expression,Water + verb,Expression for drinking water or beverages,I drink water refreshingly,飲み物関連表現,水を + 動詞,水や飲み物を飲む表現,水を冷たく飲みます,饮料相关表达,喝水 + 动词,喝水或饮料的表达,我喝凉水,Expresión de bebida,Agua + verbo,Expresión para beber agua o bebidas,Bebo agua refrescantemente,물,water,水,水,agua
daily_sleep_activity,daily,routine,basic,"home,casual",description,수면 표현,잠을 + 동사,잠자기와 관련된 표현,잠을 푹 잡니다,Sleep Expression,Sleep + verb,Expression related to sleeping,I sleep soundly,睡眠表現,眠りに + 動詞,睡眠に関連した表現,ぐっすり眠ります,睡眠表达,睡觉 + 动词,与睡眠相关的表达,我睡得很香,Expresión de sueño,Sueño + verbo,Expresión relacionada con dormir,Duermo profundamente,잠,sleep,眠り,睡觉,sueño
daily_book_learning,daily,leisure,basic,"home,school",description,독서 표현,책을 + 동사,책 읽기와 관련된 표현,책을 재미있게 읽습니다,Reading Expression,Book + verb,Expression related to reading books,I read books interestingly,読書表現,本を + 動詞,本読みに関連した表現,本を面白く読みます,阅读表达,看书 + 动词,与读书相关的表达,我有趣地看书,Expresión de lectura,Libro + verbo,Expresión relacionada con leer libros,Leo libros interesantemente,책,book,本,书,libro
daily_clothes_wear,daily,clothing,basic,"home,shopping",description,옷 입기 표현,옷을 + 동사,옷 입기와 관련된 표현,옷을 예쁘게 입습니다,Clothing Expression,Clothes + verb,Expression related to wearing clothes,I wear clothes prettily,服装表現,服を + 動詞,服装に関連した表現,服をきれいに着ます,穿衣表达,穿衣服 + 动词,与穿衣相关的表达,我漂亮地穿衣服,Expresión de vestimenta,Ropa + verbo,Expresión relacionada con usar ropa,Uso ropa lindamente,옷,clothes,服,衣服,ropa
daily_weather_nature,daily,weather_talk,basic,"casual,public",description,날씨 표현,날씨가 + 형용사,날씨 상태를 설명하는 표현,날씨가 정말 좋습니다,Weather Expression,Weather is + adjective,Expression describing weather conditions,The weather is really good,天気表現,天気が + 形容詞,天気の状態を説明する表現,天気が本当に良いです,天气表达,天气 + 形容词,描述天气状况的表达,天气真的很好,Expresión del clima,El clima está + adjetivo,Expresión que describe condiciones climáticas,El clima está realmente bueno,날씨,weather,天気,天气,clima
daily_phone_communication,daily,communication,intermediate,"casual,online",description,통신 표현,핸드폰으로 + 동사,핸드폰 사용과 관련된 표현,핸드폰으로 연락합니다,Communication Expression,By phone + verb,Expression related to phone usage,I contact by phone,通信表現,携帯電話で + 動詞,携帯電話使用に関連した表現,携帯電話で連絡します,通信表达,用手机 + 动词,与使用手机相关的表达,我用手机联系,Expresión de comunicación,Por teléfono + verbo,Expresión relacionada con uso del teléfono,Contacto por teléfono,핸드폰,phone,携帯電話,手机,teléfono
daily_time_schedule,daily,time,intermediate,"formal,work",description,시간 관리 표현,시간을 + 동사,시간 관리와 관련된 표현,시간을 잘 관리합니다,Time Management Expression,Time + verb,Expression related to time management,I manage time well,時間管理表現,時間を + 動詞,時間管理に関連した表現,時間をよく管理します,时间管理表达,时间 + 动词,与时间管理相关的表达,我很好地管理时间,Expresión de gestión del tiempo,Tiempo + verbo,Expresión relacionada con gestión del tiempo,Manejo el tiempo bien,시간,time,時間,时间,tiempo
daily_money_finance,daily,personal_care,intermediate,"formal,shopping",description,금전 관리 표현,돈을 + 동사,돈 관리와 관련된 표현,돈을 아껴 씁니다,Money Management Expression,Money + verb,Expression related to money management,I spend money carefully,金銭管理表現,お金を + 動詞,お金の管理に関連した表現,お金を大切に使います,金钱管理表达,钱 + 动词,与金钱管理相关的表达,我节约用钱,Expresión de gestión monetaria,Dinero + verbo,Expresión relacionada con gestión del dinero,Gasto dinero cuidadosamente,돈,money,お金,钱,dinero
daily_work_activity,daily,routine,intermediate,"formal,work",description,업무 표현,일을 + 동사,업무와 관련된 표현,일을 열심히 합니다,Work Expression,Work + verb,Expression related to work,I work diligently,仕事表現,仕事を + 動詞,仕事に関連した表現,仕事を一生懸命します,工作表达,工作 + 动词,与工作相关的表达,我努力工作,Expresión de trabajo,Trabajo + verbo,Expresión relacionada con trabajo,Trabajo diligentemente,일,work,仕事,工作,trabajo
daily_car_transportation,daily,transportation,intermediate,"casual,travel",description,교통수단 표현,차로 + 동사,교통수단 이용 표현,차로 여행을 갑니다,Transportation Expression,By car + verb,Expression for using transportation,I travel by car,交通手段表現,車で + 動詞,交通手段利用表現,車で旅行に行きます,交通工具表达,开车 + 动词,使用交通工具的表达,我开车去旅行,Expresión de transporte,En coche + verbo,Expresión para usar transporte,Viajo en coche,차,car,車,汽车,coche
daily_room_space,daily,household,basic,"home,casual",description,공간 표현,방에서 + 동사,방이나 공간에서의 활동 표현,방에서 공부합니다,Space Expression,In the room + verb,Expression for activities in room or space,I study in the room,空間表現,部屋で + 動詞,部屋や空間での活動表現,部屋で勉強します,空间表达,在房间 + 动词,在房间或空间中活动的表达,我在房间学习,Expresión espacial,En la habitación + verbo,Expresión para actividades en habitación o espacio,Estudio en la habitación,방,room,部屋,房间,habitación
daily_love_emotion,daily,emotions,intermediate,"social,casual",emotion,사랑 표현,사랑을 + 동사,사랑과 애정을 나타내는 표현,사랑을 표현합니다,Love Expression,Love + verb,Expression showing love and affection,I express love,愛情表現,愛を + 動詞,愛と愛情を表す表現,愛を表現します,爱情表达,爱 + 动词,表示爱和感情的表达,我表达爱,Expresión de amor,Amor + verbo,Expresión que muestra amor y afecto,Expreso amor,사랑,love,愛,爱,amor
daily_study_learning,daily,routine,intermediate,"school,home",description,학습 표현,공부를 + 동사,학습과 관련된 표현,공부를 계획적으로 합니다,Study Expression,Study + verb,Expression related to learning,I study systematically,学習表現,勉強を + 動詞,学習に関連した表現,勉強を計画的にします,学习表达,学习 + 动词,与学习相关的表达,我有计划地学习,Expresión de estudio,Estudio + verbo,Expresión relacionada con aprender,Estudio sistemáticamente,공부,study,勉強,学习,estudio
daily_game_leisure,daily,leisure,basic,"casual,home",description,오락 표현,게임을 + 동사,게임과 오락 활동 표현,게임을 재미있게 합니다,Entertainment Expression,Game + verb,Expression for game and entertainment activities,I play games enjoyably,娯楽表現,ゲームを + 動詞,ゲームと娯楽活動表現,ゲームを楽しくします,娱乐表达,玩游戏 + 动词,游戏和娱乐活动的表达,我有趣地玩游戏,Expresión de entretenimiento,Juego + verbo,Expresión para actividades de juego y entretenimiento,Juego divertidamente,게임,game,ゲーム,游戏,juego
daily_shopping_activity,daily,shopping,intermediate,"casual,shopping",description,쇼핑 표현,쇼핑을 + 동사,쇼핑과 구매 활동 표현,쇼핑을 즐겁게 합니다,Shopping Expression,Shopping + verb,Expression for shopping and purchasing activities,I shop enjoyably,ショッピング表現,ショッピングを + 動詞,ショッピングと購入活動表現,ショッピングを楽しくします,购物表达,购物 + 动词,购物和购买活动的表达,我愉快地购物,Expresión de compras,Compras + verbo,Expresión para actividades de compra,Compro agradablemente,쇼핑,shopping,ショッピング,购物,compras
daily_music_entertainment,daily,leisure,basic,"casual,social",description,음악 표현,음악을 + 동사,음악 감상과 관련된 표현,음악을 듣고 즐깁니다,Music Expression,Music + verb,Expression related to music appreciation,I listen to and enjoy music,音楽表現,音楽を + 動詞,音楽鑑賞に関連した表現,音楽を聞いて楽しみます,音乐表达,听音乐 + 动词,与音乐欣赏相关的表达,我听音乐并享受,Expresión musical,Música + verbo,Expresión relacionada con apreciación musical,Escucho y disfruto música,음악,music,音楽,音乐,música
daily_exercise_health,daily,personal_care,intermediate,"casual,public",description,운동 표현,운동을 + 동사,운동과 건강 관리 표현,운동을 꾸준히 합니다,Exercise Expression,Exercise + verb,Expression for exercise and health management,I exercise consistently,運動表現,運動を + 動詞,運動と健康管理表現,運動を継続的にします,运动表达,运动 + 动词,运动和健康管理的表达,我坚持运动,Expresión de ejercicio,Ejercicio + verbo,Expresión para ejercicio y gestión de salud,Hago ejercicio consistentemente,운동,exercise,運動,运动,ejercicio
daily_computer_technology,daily,communication,intermediate,"work,online",description,컴퓨터 활용 표현,컴퓨터로 + 동사,컴퓨터 사용과 관련된 표현,컴퓨터로 작업합니다,Computer Usage Expression,By computer + verb,Expression related to computer usage,I work by computer,コンピューター活用表現,コンピューターで + 動詞,コンピューター使用に関連した表現,コンピューターで作業します,电脑应用表达,用电脑 + 动词,与使用电脑相关的表达,我用电脑工作,Expresión de uso de computadora,Por computadora + verbo,Expresión relacionada con uso de computadora,Trabajo por computadora,컴퓨터,computer,コンピューター,电脑,computadora
daily_tea_drink,daily,household,basic,"casual,home",description,차 마시기 표현,차를 + 동사,차나 음료를 마시는 표현,차를 따뜻하게 마십니다,Tea Drinking Expression,Tea + verb,Expression for drinking tea or beverages,I drink tea warmly,お茶飲み表現,お茶を + 動詞,お茶や飲み物を飲む表現,お茶を温かく飲みます,喝茶表达,喝茶 + 动词,喝茶或饮料的表达,我温暖地喝茶,Expresión de beber té,Té + verbo,Expresión para beber té o bebidas,Bebo té calidamente,차,tea,茶,茶,té
daily_walk_activity,daily,leisure,basic,"casual,public",description,산책 표현,산책을 + 동사,산책과 걷기 활동 표현,산책을 여유롭게 합니다,Walking Expression,Walk + verb,Expression for walking and strolling activities,I walk leisurely,散歩表現,散歩を + 動詞,散歩と歩き活動表現,散歩をゆっくりします,散步表达,散步 + 动词,散步和行走活动的表达,我悠闲地散步,Expresión de caminar,Caminar + verbo,Expresión para actividades de caminar,Camino tranquilamente,산책,walk,散歩,散步,paseo
daily_birthday_celebration,daily,relationships,intermediate,"social,casual",description,생일 축하 표현,생일을 + 동사,생일과 축하 표현,생일을 축하합니다,Birthday Celebration Expression,Birthday + verb,Expression for birthday and celebration,I celebrate birthday,誕生日お祝い表現,誕生日を + 動詞,誕生日とお祝い表現,誕生日をお祝いします,生日庆祝表达,生日 + 动词,生日和庆祝的表达,我庆祝生日,Expresión de celebración de cumpleaños,Cumpleaños + verbo,Expresión para cumpleaños y celebración,Celebro cumpleaños,생일,birthday,誕生日,生日,cumpleaños
