domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,korean_example,english_example,chinese_example,japanese_example
daily,routine,basic,⏰,#4CAF50,"casual,home",description,아침,a-chim,하루가 시작되는 시간,명사,"새벽,조간","저녁,밤","시간,일과","아침식사,아침운동","상쾌한 아침,이른 아침",morning,/ˈmɔːrnɪŋ/,the early part of the day,noun,"dawn,daybreak","evening,night","time,daily","morning exercise,morning coffee","early morning,fresh morning",早晨,zǎo chén,一天开始的时间,名词,"清晨,上午","晚上,夜晚","时间,日程","早晨锻炼,早餐","清爽的早晨,早起",朝,asa,一日の始まりの時間,名詞,"朝方,午前","夕方,夜","時間,日課","朝の運動,朝食","爽やかな朝,早朝",오늘 아침 일찍 일어났어요.,I got up early this morning.,今天早晨我起得很早。,今朝早く起きました。
daily,communication,basic,📞,#FF9800,"casual,work",request,전화,jeon-hwa,멀리 있는 사람과 말하는 기계,명사,"통화,콜","편지,문자","연락,소통","전화기,전화번호","긴급 전화,국제 전화",phone,/foʊn/,device for speaking to someone far away,noun,"telephone,call","letter,text","communication,contact","phone number,phone call","emergency phone,mobile phone",电话,diàn huà,与远方的人通话的设备,名词,"通话,电话机","信件,短信","联系,沟通","电话号码,电话机","紧急电话,手机",電話,denwa,遠くの人と話すための機器,名詞,"通話,テレフォン","手紙,メール","連絡,コミュニケーション","電話番号,電話機","緊急電話,携帯電話",엄마에게 전화를 걸었어요.,I called my mom.,我给妈妈打了电话。,お母さんに電話をかけました。
daily,time,basic,🕐,#2196F3,"casual,formal",question,시간,si-gan,언제인지를 나타내는 것,명사,"때,순간","영원,무한","시각,일정","시간표,시계","소중한 시간,바쁜 시간",time,/taɪm/,when something happens,noun,"moment,hour","eternity,forever","schedule,timing","timetable,clock","precious time,busy time",时间,shí jiān,什么时候发生的概念,名词,"时刻,时候","永恒,无限","时刻,日程","时间表,时钟","宝贵时间,忙碌时间",時間,jikan,いつかを表すもの,名詞,"時刻,とき","永遠,無限","スケジュール,タイミング","時間割,時計","大切な時間,忙しい時間",지금 몇 시예요?,What time is it now?,现在几点了？,今何時ですか？
daily,clothing,basic,👕,#E91E63,"casual,shopping",description,옷,ot,몸에 입는 것,명사,"의복,의류","벗음,나체","패션,스타일","옷장,옷가게","예쁜 옷,따뜻한 옷",clothes,/kloʊðz/,things you wear on your body,noun,"clothing,garments","nakedness,bare","fashion,style","wardrobe,clothing store","beautiful clothes,warm clothes",衣服,yī fu,穿在身上的东西,名词,"服装,服饰","裸体,赤身","时尚,风格","衣柜,服装店","漂亮衣服,温暖衣服",服,fuku,体に着るもの,名詞,"衣服,衣類","裸,素肌","ファッション,スタイル","クローゼット,洋服店","きれいな服,暖かい服",새 옷을 샀어요.,I bought new clothes.,我买了新衣服。,新しい服を買いました。
daily,emotions,basic,😊,#FFC107,"casual,social",emotion,행복,haeng-bok,기쁘고 즐거운 마음,명사,"기쁨,즐거움","슬픔,불행","감정,마음","행복감,행복한","진정한 행복,소소한 행복",happiness,/ˈhæpɪnəs/,feeling of joy and pleasure,noun,"joy,delight","sadness,sorrow","emotion,feeling","joyfulness,bliss","true happiness,simple happiness",幸福,xìng fú,快乐愉悦的心情,名词,"快乐,喜悦","悲伤,不幸","情感,心情","幸福感,愉快","真正的幸福,简单的幸福",幸せ,shiawase,嬉しく楽しい気持ち,名詞,"喜び,楽しさ","悲しみ,不幸","感情,気持ち","幸福感,喜び","本当の幸せ,小さな幸せ",가족과 함께 있으면 행복해요.,I'm happy when I'm with my family.,和家人在一起很幸福。,家族と一緒にいると幸せです。
daily,personal_care,basic,🧼,#00BCD4,"casual,home",instruction,씻다,ssit-da,몸을 깨끗하게 하다,동사,"닦다,청소하다","더럽히다,오염시키다","청결,위생","세수,목욕","깨끗이 씻다,잘 씻다",wash,/wɑːʃ/,to clean with water,verb,"clean,rinse","dirty,soil","hygiene,cleanliness","face wash,bath","wash thoroughly,wash well",洗,xǐ,用水清洁,动词,"清洗,冲洗","弄脏,污染","卫生,清洁","洗脸,洗澡","彻底清洗,好好洗",洗う,arau,水できれいにする,動詞,"清める,すすぐ","汚す,汚染する","衛生,清潔","洗顔,入浴","きれいに洗う,よく洗う",손을 깨끗이 씻으세요.,Wash your hands clean.,请把手洗干净。,手をきれいに洗ってください。
daily,household,intermediate,🏠,#795548,"home,casual",description,집안일,jib-an-il,집에서 하는 여러 가지 일,명사,"가사,살림","직장일,업무","가정,생활","청소,요리","힘든 집안일,많은 집안일",housework,/ˈhaʊswɜːrk/,work done in taking care of a house,noun,"domestic work,chores","office work,job","home,household","cleaning,cooking","hard housework,lots of housework",家务,jiā wù,在家里做的各种工作,名词,"家事,家政","工作,职业","家庭,生活","打扫,做饭","繁重的家务,很多家务",家事,kaji,家でするいろいろな仕事,名詞,"家政,生活","仕事,職業","家庭,暮らし","掃除,料理","大変な家事,たくさんの家事",매일 집안일을 해요.,I do housework every day.,我每天都做家务。,毎日家事をします。
daily,leisure,intermediate,📚,#9C27B0,"casual,home",description,취미,chwi-mi,즐거움을 위해 하는 일,명사,"여가,오락","일,업무","관심,활동","취미생활,취미활동","다양한 취미,새로운 취미",hobby,/ˈhɑːbi/,activity done for pleasure,noun,"pastime,interest","work,job","leisure,recreation","hobby activity,pursuit","various hobbies,new hobby",爱好,ài hào,为了快乐而做的事情,名词,"兴趣,嗜好","工作,职业","休闲,娱乐","爱好活动,兴趣","各种爱好,新爱好",趣味,shumi,楽しみのためにすること,名詞,"娯楽,興味","仕事,職業","余暇,レクリエーション","趣味活動,嗜好","いろいろな趣味,新しい趣味",독서가 제 취미예요.,Reading is my hobby.,读书是我的爱好。,読書が私の趣味です。
food,vegetable,basic,🥕,#FF5722,"casual,shopping",description,당근,dang-geun,주황색의 뿌리 채소,명사,"홍당무,캐럿",,"채소,뿌리","당근주스,당근케이크","신선한 당근,달콤한 당근",carrot,/ˈkærət/,orange root vegetable,noun,"orange vegetable,root",,"vegetable,root","carrot juice,carrot cake","fresh carrot,sweet carrot",胡萝卜,hú luó bo,橙色的根茎蔬菜,名词,"红萝卜,胡萝卜",,"蔬菜,根茎","胡萝卜汁,胡萝卜蛋糕","新鲜胡萝卜,甜胡萝卜",人参,ninjin,オレンジ色の根菜,名詞,"キャロット,根菜",,"野菜,根っこ","人参ジュース,人参ケーキ","新鮮な人参,甘い人参",당근을 잘게 썰어 주세요.,Please chop the carrots finely.,请把胡萝卜切细。,人参を細かく切ってください。
food,meat,basic,🥩,#8BC34A,"casual,shopping",description,고기,go-gi,동물의 살,명사,"육류,정육","채소,야채","단백질,음식","고기집,고기요리","신선한 고기,맛있는 고기",meat,/miːt/,flesh of animals used as food,noun,"flesh,protein","vegetables,plants","protein,food","meat shop,meat dish","fresh meat,delicious meat",肉,ròu,动物的肉,名词,"肉类,荤菜","蔬菜,素食","蛋白质,食物","肉店,肉菜","新鲜的肉,美味的肉",肉,niku,動物の肉,名詞,"肉類,タンパク質","野菜,植物","タンパク質,食べ物","肉屋,肉料理","新鮮な肉,美味しい肉",고기를 구워서 먹어요.,I grill and eat meat.,我烤肉吃。,肉を焼いて食べます。
food,drink,basic,🥛,#03A9F4,"casual,home",request,우유,u-yu,소에서 나오는 흰 음료,명사,"밀크,젖","물,차","음료,유제품","우유병,우유팩","신선한 우유,따뜻한 우유",milk,/mɪlk/,white liquid from cows,noun,"dairy,liquid","water,juice","beverage,dairy","milk bottle,milk carton","fresh milk,warm milk",牛奶,niú nǎi,从牛身上获得的白色饮料,名词,"奶,乳制品","水,茶","饮料,乳品","牛奶瓶,牛奶盒","新鲜牛奶,温牛奶",牛乳,gyūnyū,牛から出る白い飲み物,名詞,"ミルク,乳製品","水,お茶","飲み物,乳製品","牛乳瓶,牛乳パック","新鮮な牛乳,温かい牛乳",우유 한 잔 주세요.,Please give me a glass of milk.,请给我一杯牛奶。,牛乳を一杯ください。
food,grain,basic,🍚,#FFC107,"casual,home",description,쌀,ssal,밥을 만드는 곡물,명사,"벼,미곡","밀,보리","곡물,주식","쌀밥,쌀가루","맛있는 쌀,좋은 쌀",rice,/raɪs/,grain used to make food,noun,"grain,cereal","wheat,barley","food,staple","cooked rice,rice flour","delicious rice,good rice",米,mǐ,做饭用的谷物,名词,"大米,稻米","小麦,大麦","谷物,主食","米饭,米粉","好吃的米,优质米",米,kome,ご飯を作る穀物,名詞,"お米,穀物","小麦,大麦","穀物,主食","ご飯,米粉","美味しい米,良い米",쌀로 밥을 지어요.,I cook rice with rice grains.,用米做饭。,米でご飯を炊きます。
food,dairy,intermediate,🧀,#FFEB3B,"casual,shopping",description,치즈,chi-jeu,우유로 만든 발효 식품,명사,"유제품,발효식품",,"음식,간식","치즈케이크,치즈버거","맛있는 치즈,신선한 치즈",cheese,/tʃiːz/,food made from milk,noun,"dairy product,fermented",,"food,snack","cheesecake,cheeseburger","delicious cheese,fresh cheese",奶酪,nǎi lào,用牛奶制成的发酵食品,名词,"乳制品,发酵食品",,"食物,零食","奶酪蛋糕,奶酪汉堡","美味奶酪,新鲜奶酪",チーズ,chīzu,牛乳から作る発酵食品,名詞,"乳製品,発酵食品",,"食べ物,おやつ","チーズケーキ,チーズバーガー","美味しいチーズ,新鮮なチーズ",치즈가 들어간 샌드위치를 먹어요.,I eat a sandwich with cheese.,我吃有奶酪的三明治。,チーズ入りのサンドイッチを食べます。
