concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_goodmorning_greeting,daily,routine,basic,"casual,home",greeting,아침 인사 패턴,좋은 아침이에요/입니다,"아침에 사용하는 기본적인 인사말로, '-이에요/입니다'를 붙여 공손하게 표현","좋은 아침이에요, 일찍 일어나셨네요.",Morning Greeting Pattern,Good morning + [follow-up],"Basic morning greeting pattern, often followed by another greeting or question","Good morning, you're up early!",朝の挨拶パターン,おはようございます + [フォローアップ],"朝の基本的な挨拶パターン、丁寧な表現を使用","おはようございます、早起きですね。",早安问候模式,早上好 + [后续问候],"早上使用的基本问候语，常常跟随其他问候","早上好，你起得真早。",Patrón de Saludo Matutino,¡Buenos días! + [seguimiento],"Patrón básico de saludo matutino, seguido por otra frase","¡Buenos días! Te has levantado temprano.",좋은 아침,good morning,おはよう,早上好,buenos días
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,기본 인사 패턴,안녕하세요 + [후속 인사],"가장 기본적인 인사말로, 다양한 후속 인사와 함께 사용","안녕하세요, 만나서 반갑습니다.",Basic Greeting Pattern,Hello + [follow-up],"Most basic greeting pattern, can be followed by various phrases","Hello, nice to meet you.",基本挨拶パターン,こんにちは + [フォローアップ],"最も基本的な挨拶パターン、様々な後続の挨拶と共に使用","こんにちは、はじめまして。",基本问候模式,你好 + [后续问候],"最基本的问候语，可以搭配各种后续问候","你好，很高兴见到你。",Patrón de Saludo Básico,¡Hola! + [seguimiento],"Patrón de saludo más básico, seguido por varias frases","¡Hola! Encantado de conocerte.",안녕하세요,hello,こんにちは,你好,hola
daily_howareyou_greeting,daily,routine,basic,"casual,home",greeting,안부 묻기 패턴,어떠세요/잘 지내세요?,"상대방의 안부를 묻는 기본 패턴으로, 존댓말 형태 사용","안녕하세요, 요즘 어떻게 지내세요?",Asking Well-being Pattern,How are you + [present continuous],"Basic pattern for asking about someone's well-being","Hello, how are you doing these days?",安否伺いパターン,お元気ですか + [後続質問],"相手の調子を尋ねる基本パターン、丁寧な表現を使用","こんにちは、最近はお元気ですか？",问候模式,你好吗 + [附加问题],"询问对方近况的基本问候语","你好，最近过得怎么样？",Patrón de Preguntar por el Bienestar,¿Cómo estás? + [presente continuo],"Patrón básico para preguntar por el bienestar","¡Hola! ¿Cómo has estado últimamente?",어떠세요,how are you,お元気ですか,你好吗,cómo estás
daily_sleep_greeting,daily,routine,basic,"casual,home",greeting,취침 인사 패턴,잘 자요/주무세요 + [후속 인사],"취침 시 사용하는 인사말로, 좋은 꿈과 함께 사용","잘 자요, 좋은 꿈 꾸세요.",Bedtime Greeting Pattern,Good night + [sweet dreams],"Bedtime greeting pattern, often paired with wishes for good dreams","Good night, sweet dreams!",就寝挨拶パターン,おやすみなさい + [良い夢を],"就寝時の挨拶パターン、良い夢を願う言葉と共に使用","おやすみなさい、良い夢を。",晚安问候模式,晚安 + [祝好梦],"睡前问候语，常常搭配祝愿好梦","晚安，祝你好梦。",Patrón de Saludo Nocturno,¡Buenas noches! + [dulces sueños],"Patrón de saludo antes de dormir, con deseos de dulces sueños","¡Buenas noches! Que tengas dulces sueños.",잘 자요,good night,おやすみなさい,晚安,buenas noches
daily_wake_greeting,daily,routine,basic,"casual,home",greeting,기상 인사 패턴,일어나세요 + [아침 인사],"아침에 기상할 때 사용하는 인사말로, 새로운 하루 시작을 알림","일어나세요, 좋은 아침이에요.",Wake-up Greeting Pattern,Wake up + [morning greeting],"Morning wake-up pattern, announcing the start of a new day","Wake up, it's a beautiful morning!",起床挨拶パターン,起きてください + [朝の挨拶],"朝の起床時の挨拶パターン、新しい一日の始まりを告げる","起きてください、素敵な朝です。",起床问候模式,起床了 + [早安问候],"早晨起床时的问候语，宣告新的一天开始","起床了，美好的早晨！",Patrón de Saludo al Despertar,¡Despierta! + [saludo matutino],"Patrón de saludo al despertar, anunciando el inicio del día","¡Despierta! Es una hermosa mañana.",일어나세요,wake up,起きて,起床了,¡despierta!
daily_welcome_greeting,daily,routine,basic,"casual,home",greeting,환영 인사 패턴,환영합니다 + [편의 제공],"방문객을 맞이할 때 사용하는 인사말로, 편안함을 제공하는 표현과 함께 사용","우리 집에 오신 것을 환영합니다. 편하게 계세요.",Welcome Pattern,Welcome + [comfort offer],"Welcome pattern for visitors, combined with comfort offering expressions","Welcome to our home. Make yourself comfortable.",歓迎挨拶パターン,ようこそ + [くつろぎの提供],"来客を迎える挨拶パターン、くつろぎを提供する表現と共に使用","ようこそいらっしゃいました。どうぞおくつろぎください。",欢迎问候模式,欢迎 + [提供舒适],"迎接访客的问候语，搭配提供舒适的表达","欢迎光临，请随意。",Patrón de Bienvenida,Bienvenido + [oferta de comodidad],"Patrón de bienvenida para visitantes, combinado con expresiones de comodidad","Bienvenido a casa. Siéntete cómodo.",환영해요,welcome,ようこそ,欢迎,bienvenido
daily_thanks_greeting,daily,routine,basic,"casual,home",greeting,감사 인사 패턴,감사합니다 + [감사 이유],"감사를 표현할 때 사용하는 패턴으로, 구체적인 감사 이유를 함께 표현","감사합니다. 정말 큰 도움이 되었어요.",Thank You Pattern,Thank you + [reason for thanks],"Gratitude expression pattern, combined with specific reason","Thank you. It was really helpful.",感謝挨拶パターン,ありがとう + [感謝の理由],"感謝を表現するパターン、具体的な理由と共に使用","ありがとうございます。とても助かりました。",感谢问候模式,谢谢 + [感谢原因],"表达感谢的问候语，搭配具体原因","谢谢，这对我很有帮助。",Patrón de Agradecimiento,Gracias + [razón del agradecimiento],"Patrón de expresión de gratitud, combinado con razón específica","Gracias. Fue de gran ayuda.",감사합니다,thank you,ありがとう,谢谢,gracias
daily_sorry_greeting,daily,routine,basic,"casual,home",greeting,사과 인사 패턴,죄송합니다 + [개선 약속],"사과할 때 사용하는 패턴으로, 향후 개선 약속을 함께 표현","죄송합니다. 다음에는 조심하겠습니다.",Apology Pattern,Sorry + [promise of improvement],"Apology pattern, combined with promise for future improvement","I'm sorry. I'll be more careful next time.",謝罪挨拶パターン,すみません + [改善の約束],"謝罪を表現するパターン、今後の改善約束と共に使用","すみません。次回は気をつけます。",道歉问候模式,对不起 + [改进承诺],"道歉用语，搭配改进承诺","对不起，下次我会更加注意。",Patrón de Disculpa,Lo siento + [promesa de mejora],"Patrón de disculpa, combinado con promesa de mejora","Lo siento. Tendré más cuidado la próxima vez.",죄송합니다,sorry,すみません,对不起,lo siento
daily_bye_greeting,daily,routine,basic,"casual,home",greeting,작별 인사 패턴,안녕히 계세요 + [재회 약속],"작별 인사를 할 때 사용하는 패턴으로, 재회를 기약하는 표현과 함께 사용","안녕히 계세요. 다음에 또 뵙겠습니다.",Goodbye Pattern,Goodbye + [future meeting],"Farewell pattern, combined with promise to meet again","Goodbye. See you next time.",別れ挨拶パターン,さようなら + [再会の約束],"別れの挨拶パターン、再会を約束する表現と共に使用","さようなら。また会いましょう。",告别问候模式,再见 + [重逢约定],"告别用语，搭配重逢约定","再见，下次再见。",Patrón de Despedida,Adiós + [futuro encuentro],"Patrón de despedida, combinado con promesa de reencuentro","Adiós. Hasta la próxima vez.",안녕히 계세요,goodbye,さようなら,再见,adiós
daily_night_greeting,daily,routine,basic,"casual,home",greeting,취침 인사 패턴,안녕히 주무세요 + [좋은 꿈],"취침 전 인사말로, 좋은 꿈을 기원하는 표현과 함께 사용","안녕히 주무세요. 좋은 꿈 꾸세요.",Night Greeting Pattern,Good night + [sweet dreams],"Bedtime greeting pattern, combined with wishes for good dreams","Good night. Sweet dreams.",就寝挨拶パターン,おやすみなさい + [良い夢を],"就寝前の挨拶パターン、良い夢を願う表現と共に使用","おやすみなさい。良い夢を。",晚安问候模式,晚安 + [祝好梦],"睡前问候语，搭配祝好梦","晚安，祝你好梦。",Patrón de Saludo Nocturno,Buenas noches + [dulces sueños],"Patrón de saludo nocturno, combinado con deseos de dulces sueños","Buenas noches. Dulces sueños.",안녕히 주무세요,good night,おやすみ,晚安,buenas noches
