concept_id,korean,english,japanese,chinese,spanish,domain,category,difficulty,situation,purpose,korean_word,english_word,japanese_word,chinese_word,spanish_word
technology_apple_software,딸기에 대해 이야기해요,Let's talk about apple,りんごについて話しましょう,我们来谈论草莓,Hablemos sobre fresa,technology,software,advanced,formal,greeting,딸기,apple,りんご,草莓,fresa
technology_laptop_computer,노트북에 대해 이야기해요,Let's talk about laptop,キーボードについて話しましょう,我们来谈论键盘,Hablemos sobre computadora,technology,computer,basic,casual,description,노트북,laptop,キーボード,键盘,computadora
shopping_strawberry_store,바나나에 대해 이야기해요,Let's talk about strawberry,いちごについて話しましょう,我们来谈论香蕉,Hablemos sobre manzana,shopping,store,advanced,casual,action,바나나,strawberry,いちご,香蕉,manzana
daily_goodbye_greeting,좋은 아침에 대해 이야기해요,Let's talk about goodbye,さようならについて話しましょう,我们来谈论再见,Hablemos sobre buenos días,daily,greeting,basic,"casual,formal",action,좋은 아침,goodbye,さようなら,再见,buenos días
daily_hello_greeting,안녕히 가세요에 대해 이야기해요,Let's talk about hello,おはようについて話しましょう,我们来谈论早上好,Hablemos sobre adiós,daily,greeting,basic,formal,greeting,안녕히 가세요,hello,おはよう,早上好,adiós
travel_pear_direction,배에 대해 이야기해요,Let's talk about pear,ぶどうについて話しましょう,我们来谈论甜瓜,Hablemos sobre uva,travel,direction,intermediate,casual,question,배,pear,ぶどう,甜瓜,uva
daily_nice_to_meet_you_greeting,어서 오세요에 대해 이야기해요,Let's talk about nice to meet you,いらっしゃいませについて話しましょう,我们来谈论欢迎,Hablemos sobre buenas noches,daily,greeting,advanced,formal,question,어서 오세요,nice to meet you,いらっしゃいませ,欢迎,buenas noches
work_peach_meeting,복숭아에 대해 이야기해요,Let's talk about peach,バナナについて話しましょう,我们来谈论桃子,Hablemos sobre pera,work,meeting,basic,formal,description,복숭아,peach,バナナ,桃子,pera
shopping_kiwi_payment,오렌지에 대해 이야기해요,Let's talk about kiwi,なしについて話しましょう,我们来谈论葡萄,Hablemos sobre sandía,shopping,payment,intermediate,"casual,formal",description,오렌지,kiwi,なし,葡萄,sandía
travel_melon_direction,포도에 대해 이야기해요,Let's talk about melon,すいかについて話しましょう,我们来谈论猕猴桃,Hablemos sobre durazno,travel,direction,basic,casual,greeting,포도,melon,すいか,猕猴桃,durazno
