concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
food_apple_fruit,food,fruit,basic,🍎,#FF0000,"casual,home",description,사과,sa-gwa,과일의 한 종류로 빨갛거나 초록색 껍질을 가진 둥근 과일,명사,"과일,사과나무 열매","채소,고기","과일,사과류","사과나무,사과잎","맛있는 사과,신선한 사과",apple,ˈæpəl,a round fruit with red or green skin,noun,"fruit,orchard fruit","vegetable,meat","fruit,apple family","apple tree,apple leaf","delicious apple,fresh apple",苹果,píngguǒ,圆形水果，有红色或绿色外皮,名词,"水果,果树果实","蔬菜,肉类","水果,苹果类","苹果树,苹果叶","美味的苹果,新鲜的苹果",りんご,ringo,丸い果物で赤や緑の皮がある,名詞,"果物,果樹の実","野菜,肉","果物,りんご科","りんごの木,りんごの葉","おいしいりんご,新鮮なりんご",manzana,manˈθana,fruta redonda con piel roja o verde,sustantivo,"fruta,fruto del manzano","verdura,carne","fruta,familia de la manzana","manzano,hoja de manzana","manzana deliciosa,manzana fresca",사과는 맛있다,The apple is delicious,苹果很好吃,りんごはおいしい,La manzana es deliciosa
daily_hello_greeting,daily,greeting,basic,👋,#4CAF50,"casual,social",greeting,안녕하세요,an-nyeong-ha-se-yo,정중한 인사말,감탄사,"안녕,하이","잘가,안녕히","인사,예의","안녕하세요,안녕히","정중한 인사,첫 만남",hello,həˈloʊ,a greeting expression,interjection,"hi,greetings","goodbye,farewell","greeting,salutation","hello there,say hello","warm hello,friendly hello",你好,nǐ hǎo,问候语,感叹词,"您好,早上好","再见,告别","问候,礼貌","你好,打招呼","礼貌问候,友好问候",こんにちは,konnichiwa,日中の挨拶,感嘆詞,"おはよう,こんばんは","さようなら,別れ","挨拶,礼儀","こんにちは,挨拶する","丁寧な挨拶,初対面の挨拶",hola,ˈo.la,saludo informal,interjección,"buenos días,buenas tardes","adiós,despedida","saludo,cortesía","hola,decir hola","saludo amigable,saludo cordial",안녕하세요? 잘 지내셨어요?,Hello! How have you been?,こんにちは！元気でしたか？,你好！你过得怎么样？,¡Hola! ¿Cómo has estado?
travel_travel_journey,travel,journey,basic,✈️,#2196F3,"casual,travel",description,여행,yeo-haeng,다른 곳으로 가는 것,명사,"여행하다,여정","집에 있다,머물다","여행,여정","여행지,여행객","즐거운 여행,긴 여행",travel,ˈtrævəl,to go from one place to another,verb,"journey,trip","stay,remain","travel,journey","travel destination,traveler","enjoyable travel,long travel",旅行,lǚxíng,从一个地方到另一个地方,动词,"旅行,旅游","停留,逗留","旅行,旅程","旅行目的地,旅行者","愉快的旅行,长途旅行",旅行,ryokō,ある場所から別の場所へ行くこと,動詞,"旅,旅行","留まる,滞在","旅行,旅","旅行先,旅行者","楽しい旅行,長い旅行",viajar,bi.aˈxaɾ,ir de un lugar a otro,verbo,"viaje,recorrido","quedarse,permanecer","viaje,recorrido","destino de viaje,viajero","viaje agradable,viaje largo",나는 여행을 좋아한다,I like to travel,我喜欢旅行,私は旅行が好きだ,Me gusta viajar
education_study_learn,education,learning,basic,📚,#FF9800,"casual,school",description,공부하다,gong-bu-ha-da,새로운 것을 배우거나 익히는 것,동사,"학습하다,배우다","놀다,게으름","학습,교육","공부방,공부시간","열심히 공부,꾸준히 공부",study,ˈstʌdi,to learn or acquire knowledge,verb,"learn,educate","play,lazy","learning,education","study room,study time","study hard,study consistently",学习,xuéxí,学习或获取知识,动词,"学习,教育","玩耍,懒惰","学习,教育","书房,学习时间","努力学习,持续学习",勉強,benkyō,新しいことを学んだり習得すること,動詞,"学ぶ,習う","遊ぶ,怠ける","学習,教育","勉強部屋,勉強時間","一生懸命勉強,コツコツ勉強",estudiar,es.tuˈðjaɾ,aprender o adquirir conocimiento,verbo,"aprender,educar","jugar,perezoso","aprendizaje,educación","sala de estudio,tiempo de estudio","estudiar duro,estudiar consistentemente",나는 한국어를 공부한다,I study Korean,我学习韩语,私は韓国語を勉強する,Estudio coreano
food_eat_consume,food,meal,basic,🍽️,#795548,"casual,home",description,먹다,meok-da,음식을 입에 넣고 소화하는 것,동사,"식사하다,섭취하다","굶다,금식하다","식사,섭취","식사시간,식사장소","맛있게 먹다,천천히 먹다",eat,it,to consume food,verb,"consume,dine","starve,fast","meal,consumption","meal time,meal place","eat deliciously,eat slowly",吃,chī,食用食物,动词,"食用,用餐","挨饿,禁食","用餐,食用","用餐时间,用餐地点","美味地吃,慢慢地吃",食べる,taberu,食べ物を口に入れて消化すること,動詞,"食事する,摂取する","飢える,断食する","食事,摂取","食事時間,食事場所","おいしく食べる,ゆっくり食べる",comer,koˈmeɾ,consumir alimentos,verbo,"consumir,cenar","ayunar,abstenerse","comida,consumo","hora de comida,lugar de comida","comer deliciosamente,comer lentamente",사과를 먹는다,I eat an apple,我吃苹果,りんごを食べる,Como una manzana
business_work_labor,business,work,basic,💼,#607D8B,"formal,work",description,일하다,il-ha-da,직업이나 업무를 수행하는 것,동사,"근무하다,노동하다","놀다,휴식하다","일,노동","일자리,일터","열심히 일하다,정시에 일하다",work,wɜːrk,to perform a job or task,verb,"labor,toil","play,rest","work,labor","job,workplace","work hard,work on time",工作,gōngzuò,执行工作或任务,动词,"劳动,工作","玩耍,休息","工作,劳动","工作,工作场所","努力工作,按时工作",働く,hataraku,職業や業務を遂行すること,動詞,"勤務する,労働する","遊ぶ,休む","仕事,労働","仕事,職場","一生懸命働く,時間通りに働く",trabajar,tra.baˈxaɾ,realizar un trabajo o tarea,verbo,"laborar,esforzarse","jugar,descansar","trabajo,labor","trabajo,lugar de trabajo","trabajar duro,trabajar a tiempo",나는 회사에서 일한다,I work at a company,我在公司工作,私は会社で働く,Trabajo en una empresa
daily_family_relative,daily,family,basic,👨‍👩‍👧‍👦,#E91E63,"casual,home",description,가족,ga-jok,혈연이나 혼인으로 연결된 사람들,명사,"가정,식구","이웃,친구","가족,친척","가족관계,가족사랑","행복한 가족,화목한 가족",family,ˈfæmɪli,a group of people related by blood or marriage,noun,"household,kin","neighbor,friend","family,relative","family relationship,family love","happy family,harmonious family",家庭,jiātíng,通过血缘或婚姻联系在一起的人们,名词,"家庭,家人","邻居,朋友","家庭,亲戚","家庭关系,家庭爱","幸福的家庭,和睦的家庭",家族,kazoku,血縁や婚姻でつながった人々,名詞,"家庭,家族","隣人,友人","家族,親戚","家族関係,家族愛","幸せな家族,仲良しの家族",familia,faˈmi.lja,grupo de personas relacionadas por sangre o matrimonio,sustantivo,"hogar,parientes","vecino,amigo","familia,parientes","relación familiar,amor familiar","familia feliz,familia armoniosa",나는 가족을 사랑한다,I love my family,我爱我的家人,私は家族を愛している,Amor a mi familia
daily_time_duration,daily,time,basic,⏰,#9C27B0,"casual,home",description,시간,si-gan,시와 분으로 측정되는 기간,명사,"시간,기간","공간,장소","시간,시계","시간관리,시간계획","많은 시간,짧은 시간",time,taɪm,a period measured in hours and minutes,noun,"duration,period","space,place","time,clock","time management,time planning","much time,short time",时间,shíjiān,以小时和分钟测量的时间段,名词,"时间,期间","空间,地点","时间,时钟","时间管理,时间计划","很多时间,很短时间",時間,jikan,時と分で測られる期間,名詞,"時間,期間","空間,場所","時間,時計","時間管理,時間計画","多くの時間,短い時間",tiempo,ˈtjem.po,período medido en horas y minutos,sustantivo,"duración,período","espacio,lugar","tiempo,reloj","gestión del tiempo,planificación del tiempo","mucho tiempo,poco tiempo",시간이 없다,I don't have time,我没有时间,時間がない,No tengo tiempo
daily_home_residence,daily,home,basic,🏠,#8BC34A,"casual,home",description,집,jip,사람이 살고 생활하는 곳,명사,"가정,주택","회사,학교","집,주택","집안,집밖","아름다운 집,큰 집",home,hoʊm,a place where people live,noun,"house,residence","company,school","home,house","inside home,outside home","beautiful home,big home",家,jiā,人们居住和生活的地方,名词,"家庭,住宅","公司,学校","家,住宅","家里,家外","美丽的家,大房子",家,ie,人が住んで生活する場所,名詞,"家庭,住宅","会社,学校","家,住宅","家の中,家の外","美しい家,大きな家",casa,ˈka.sa,lugar donde vive la gente,sustantivo,"hogar,residencia","empresa,escuela","casa,residencia","dentro de casa,fuera de casa","casa hermosa,casa grande",집에 돌아간다,I go home,我回家,家に帰る,Voy a casa
daily_friend_companion,daily,friend,basic,👥,#FF5722,"casual,social",description,친구,chin-gu,서로 알고 지내는 사이,명사,"동료,벗","적,원수","친구,동료","친구관계,친구사랑","좋은 친구,진정한 친구",friend,frend,a person you know and like,noun,"companion,buddy","enemy,foe","friend,companion","friendship,friend love","good friend,true friend",朋友,péngyǒu,相互认识的人,名词,"同伴,伙伴","敌人,仇人","朋友,同伴","朋友关系,朋友爱","好朋友,真正的朋友",友達,tomodachi,互いに知り合っている間柄,名詞,"仲間,友","敵,仇","友達,仲間","友達関係,友達愛","良い友達,真の友達",amigo,aˈmi.ɣo,persona que conoces y te gusta,sustantivo,"compañero,compañero","enemigo,adversario","amigo,compañero","amistad,amor de amigo","buen amigo,verdadero amigo",친구를 만난다,I meet my friend,我见朋友,友達に会う,Veo a mi amigo
