concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
food_cook_prepare,food,cooking,basic,"casual,home",instruction,요리 동작 표현,N을/를 V하다,"음식 조리 동작을 나타내는 기본 문법 패턴","엄마가 맛있는 음식을 요리합니다.",Cooking Action Expression,V + N,"Basic grammar pattern for food preparation actions","Mom cooks delicious food.",料理動作表現,NをVする,"食べ物調理動作を表す基本文法パターン","お母さんが美味しい食べ物を料理します。",烹饪动作表达,V + N,"表示食物准备动作的基本语法模式","妈妈做美味的食物。",Expresión de Acción Culinaria,V + N,"Patrón gramatical básico para acciones de preparación de alimentos","Mamá cocina comida deliciosa.",요리하다,cook,料理する,做饭,cocinar
food_fry_cooking,food,cooking,basic,"casual,home",instruction,조리법 지시문,N을/를 V아/어 주세요,"요리 방법을 지시하는 정중한 명령문 패턴","기름에 감자를 튀겨 주세요.",Cooking Method Instruction,Please + V + N,"Polite imperative pattern for cooking instructions","Please fry potatoes in oil.",調理法指示文,NをVてください,"料理方法を指示する丁寧な命令文パターン","油でジャガイモを揚げてください。",烹饪方法指示,请 + V + N,"指示烹饪方法的礼貌祈使句模式","请用油炸土豆。",Instrucción de Método Culinario,Por favor + V + N,"Patrón imperativo cortés para instrucciones culinarias","Por favor fríe papas en aceite.",튀기다,fry,揚げる,炸,freír
food_boil_cooking,food,cooking,basic,"casual,home",instruction,조건부 조리 지시,조건이 V면 N을/를 V세요,"조건에 따른 요리 과정을 나타내는 문법 패턴","물이 끓으면 면을 삶으세요.",Conditional Cooking Instruction,When + condition + V + N,"Grammar pattern for cooking process based on conditions","When water boils cook noodles.",条件付き調理指示,条件がVたらNをVてください,"条件による料理過程を表す文法パターン","お湯が沸いたら麺を茹でてください。",条件性烹饪指示,当条件V时 + V + N,"根据条件的烹饪过程语法模式","当水开时煮面条。",Instrucción Culinaria Condicional,Cuando + condición + V + N,"Patrón gramatical para proceso culinario basado en condiciones","Cuando hierva el agua cocina fideos.",삶다,boil,茹でる,煮,hervir
food_bake_cooking,food,cooking,intermediate,"casual,home",instruction,온도 설정 표현,온도로 N을/를 V세요,"조리 온도를 명시하는 지시문 패턴","180도로 빵을 구우세요.",Temperature Setting Expression,V + N + at + temperature,"Instruction pattern specifying cooking temperature","Bake bread at 180 degrees.",温度設定表現,温度でNをVてください,"調理温度を明示する指示文パターン","180度でパンを焼いてください。",温度设定表达,用温度 + V + N,"明确烹饪温度的指示句模式","用180度烤面包。",Expresión de Configuración de Temperatura,V + N + a + temperatura,"Patrón de instrucción especificando temperatura de cocción","Hornea pan a 180 grados.",굽다,bake,焼く,烤,hornear
food_steam_cooking,food,cooking,intermediate,"casual,home",instruction,시간 지정 조리법,시간 동안 N을/를 V세요,"조리 시간을 지정하는 명령문 패턴","10분 동안 야채를 쪄 주세요.",Time-specified Cooking Method,V + N + for + time,"Imperative pattern specifying cooking time","Steam vegetables for 10 minutes.",時間指定調理法,時間NをVてください,"調理時間を指定する命令文パターン","10分間野菜を蒸してください。",时间指定烹饪法,V + N + 时间,"指定烹饪时间的祈使句模式","蒸蔬菜10分钟。",Método Culinario con Tiempo Especificado,V + N + por + tiempo,"Patrón imperativo especificando tiempo de cocción","Cuece verduras por 10 minutos.",찌다,steam,蒸す,蒸,cocer
food_grill_cooking,food,cooking,intermediate,"casual,home",instruction,조리 도구 사용법,도구에서 N을/를 V자,"요리 도구 사용을 제안하는 문법 패턴","그릴에서 고기를 구워봅시다.",Cooking Tool Usage,Let's + V + N + on + tool,"Grammar pattern suggesting use of cooking tools","Let's grill meat on the grill.",調理道具使用法,道具でNをVましょう,"料理道具使用を提案する文法パターン","グリルで肉を焼きましょう。",烹饪工具使用法,用工具 + V + N + 吧,"建议使用烹饪工具的语法模式","我们用烤架烤肉吧。",Uso de Herramienta Culinaria,Vamos a + V + N + en + herramienta,"Patrón gramatical sugiriendo uso de herramientas culinarias","Asemos carne en la parrilla.",굽다,grill,焼く,烧烤,asar
food_mix_cooking,food,cooking,basic,"casual,home",instruction,재료 혼합 지시,재료와 재료를 V아/어 주세요,"두 가지 재료를 혼합하는 명령문 패턴","밀가루와 우유를 섞어 주세요.",Ingredient Mixing Instruction,V + ingredient + and + ingredient,"Imperative pattern for mixing two ingredients","Mix flour and milk.",材料混合指示,材料と材料をVてください,"二つの材料を混合する命令文パターン","小麦粉と牛乳を混ぜてください。",食材混合指示,把材料和材料V,"混合两种食材的祈使句模式","把面粉和牛奶混合。",Instrucción de Mezcla de Ingredientes,V + ingrediente + y + ingrediente,"Patrón imperativo para mezclar dos ingredientes","Mezcla harina y leche.",섞다,mix,混ぜる,拌,mezclar
food_chop_cooking,food,cooking,basic,"casual,home",instruction,재료 준비 방법,장소에서 N을/를 형용사하게 V세요,"재료 준비 방법을 구체적으로 지시하는 패턴","도마에서 양파를 잘게 썰어 주세요.",Ingredient Preparation Method,V + N + adverb + on + place,"Pattern for specific ingredient preparation instructions","Chop onions finely on cutting board.",材料準備方法,場所でNを副詞Vてください,"材料準備方法を具体的に指示するパターン","まな板で玉ねぎを細かく切ってください。",食材准备方法,在地点 + 副词地 + V + N,"具体指示食材准备方法的模式","在砧板上细切洋葱。",Método de Preparación de Ingredientes,V + N + adverbio + en + lugar,"Patrón para instrucciones específicas de preparación de ingredientes","Corta cebollas finamente en tabla.",썰다,chop,切る,切,cortar
food_season_cooking,food,cooking,intermediate,"casual,home",instruction,조미료 사용법,N으로 간을 V세요,"음식 간을 맞추는 방법을 나타내는 패턴","소금으로 간을 맞춰 주세요.",Seasoning Usage,V + seasoning + with + N,"Pattern indicating how to season food","Season with salt.",調味料使用法,Nで味をVてください,"食べ物の味を調える方法を表すパターン","塩で味を調えてください。",调味料使用法,用N + V + 味,"表示调味食物方法的模式","用盐调味。",Uso de Condimentos,V + condimento + con + N,"Patrón indicando cómo condimentar comida","Sazona con sal.",간하다,season,味付けする,调味,sazonar
food_marinate_cooking,food,cooking,advanced,"casual,home",instruction,재료 처리 시간,재료를 N에 시간 동안 V세요,"식재료를 시간을 두고 처리하는 방법 표현","고기를 양념에 2시간 동안 재워 주세요.",Ingredient Processing Time,V + ingredient + in + N + for + time,"Expression for processing ingredients over time","Marinate meat in sauce for 2 hours.",材料処理時間,材料をNに時間Vてください,"食材を時間をかけて処理する方法表現","肉を調味料に2時間漬けてください。",食材处理时间,把材料在N里V + 时间,"表示处理食材需要时间的方法","把肉在调料里腌2小时。",Tiempo de Procesamiento de Ingredientes,V + ingrediente + en + N + por + tiempo,"Expresión para procesar ingredientes durante tiempo","Marina carne en salsa por 2 horas.",재우다,marinate,漬ける,腌制,marinar
food_sauté_cooking,food,cooking,advanced,"casual,home",instruction,화력 조절 조리법,불에서 N을/를 시간 V세요,"화력과 시간을 조절하는 조리 방법 패턴","중간 불에서 버섯을 5분 볶아 주세요.",Heat Control Cooking Method,V + N + on + heat + for + time,"Cooking method pattern controlling heat and time","Sauté mushrooms on medium heat for 5 minutes.",火力調節調理法,火でNを時間Vてください,"火力と時間を調節する調理方法パターン","中火でキノコを5分炒めてください。",火力调节烹饪法,用火 + V + N + 时间,"调节火力和时间的烹饪方法模式","用中火炒蘑菇5分钟。",Método Culinario de Control de Calor,V + N + en + calor + por + tiempo,"Patrón de método culinario controlando calor y tiempo","Saltea hongos a fuego medio por 5 minutos.",볶다,sauté,炒める,炒,saltear
food_simmer_cooking,food,cooking,intermediate,"casual,home",instruction,약한 불 조리법,약한 불에서 N을/를 V세요,"약한 불로 천천히 조리하는 방법 표현","약한 불에서 스프를 끓여 주세요.",Low Heat Cooking Method,V + N + on + low heat,"Expression for slow cooking on low heat","Simmer soup on low heat.",弱火調理法,弱火でNをVてください,"弱火でゆっくり調理する方法表現","弱火でスープを煮込んでください。",小火烹饪法,用小火 + V + N,"用小火慢慢烹饪的方法表达","用小火炖汤。",Método de Cocción a Fuego Lento,V + N + a fuego lento,"Expresión para cocinar lentamente a fuego lento","Hierve sopa a fuego lento.",끓이다,simmer,煮込む,炖,hervir
food_roast_cooking,food,cooking,intermediate,"casual,home",instruction,오븐 조리 시간,오븐에서 N을/를 시간 V세요,"오븐을 이용한 장시간 조리 방법 패턴","오븐에서 닭을 1시간 로스트하세요.",Oven Cooking Time,V + N + in oven + for + time,"Long-term cooking method pattern using oven","Roast chicken in oven for 1 hour.",オーブン調理時間,オーブンでNを時間Vてください,"オーブンを利用した長時間調理方法パターン","オーブンで鶏を1時間ローストしてください。",烤箱烹饪时间,在烤箱里 + V + N + 时间,"使用烤箱长时间烹饪的方法模式","在烤箱里烤鸡1小时。",Tiempo de Cocción en Horno,V + N + en horno + por + tiempo,"Patrón de método de cocción a largo plazo usando horno","Asa pollo en horno por 1 hora.",로스트하다,roast,ローストする,烤,asar
food_blanch_cooking,food,cooking,advanced,"polite,home",instruction,짧은 시간 조리법,끓는 물에 N을/를 짧은시간 V세요,"끓는 물에서 짧게 데치는 조리 방법","끓는 물에 브로콜리를 2분 데쳐 주세요.",Short Time Cooking Method,V + N + in boiling water + for short time,"Cooking method for brief blanching in boiling water","Blanch broccoli in boiling water for 2 minutes.",短時間調理法,沸騰したお湯でNを短時間Vてください,"沸騰したお湯で短く湯がく調理方法","沸騰したお湯でブロッコリーを2分湯がいてください。",短时间烹饪法,在开水里 + V + N + 短时间,"在开水中短时间焯的烹饪方法","在开水里焯西兰花2分钟。",Método de Cocción de Tiempo Corto,V + N + en agua hirviendo + por tiempo corto,"Método de cocción para escaldado breve en agua hirviendo","Escalda brócoli en agua hirviendo por 2 minutos.",데치다,blanch,湯がく,焯,escaldar
food_knead_cooking,food,cooking,intermediate,"casual,home",instruction,반복 동작 표현,N을/를 시간 V아/어서 상태로 만드세요,"반복적인 조리 동작과 결과를 나타내는 패턴","반죽을 10분 치대서 부드럽게 만드세요.",Repetitive Action Expression,V + N + for time + to make + state,"Pattern indicating repetitive cooking action and result","Knead dough for 10 minutes to make soft.",反復動作表現,Nを時間Vて状態にしてください,"反復的な調理動作と結果を表すパターン","生地を10分こねて柔らかくしてください。",重复动作表达,V + N + 时间 + 使其状态,"表示重复烹饪动作和结果的模式","揉面团10分钟使其柔软。",Expresión de Acción Repetitiva,V + N + por tiempo + para hacer + estado,"Patrón indicando acción culinaria repetitiva y resultado","Amasa masa por 10 minutos para suavizar.",반죽하다,knead,こねる,揉,amasar
food_whisk_cooking,food,cooking,basic,"casual,home",instruction,상태 변화까지 동작,상태가 될 때까지 N을/를 V세요,"특정 상태에 도달할 때까지의 조리 동작 패턴","거품이 날 때까지 달걀을 젓세요.",Action Until State Change,V + N + until + state,"Cooking action pattern until reaching specific state","Whisk eggs until foamy.",状態変化まで動作,状態になるまでNをVてください,"特定状態に達するまでの調理動作パターン","泡立つまで卵を泡立ててください。",动作直到状态变化,V + N + 直到状态,"直到达到特定状态的烹饪动作模式","打鸡蛋直到起泡。",Acción Hasta Cambio de Estado,V + N + hasta + estado,"Patrón de acción culinaria hasta alcanzar estado específico","Bate huevos hasta espumoso.",젓다,whisk,泡立てる,打,batir
food_strain_cooking,food,cooking,intermediate,"polite,home",instruction,걸러내기 과정,N을/를 체에 부어서 V세요,"액체에서 고체를 분리하는 조리 과정 표현","국물을 체에 부어서 거르세요.",Straining Process,Pour + N + through + tool + to + V,"Cooking process expression for separating solids from liquids","Pour broth through strainer to strain.",濾し過程,Nをざるに注いでVてください,"液体から固体を分離する調理過程表現","スープをざるに注いで濾してください。",过滤过程,把N倒入工具来V,"分离液体中固体的烹饪过程表达","把汤倒入过滤器来过滤。",Proceso de Filtrado,Vierte + N + a través de + herramienta + para + V,"Expresión de proceso culinario para separar sólidos de líquidos","Vierte caldo a través de colador para colar.",거르다,strain,こす,过滤,colar
food_garnish_cooking,food,cooking,advanced,"polite,home",description,장식 표현,N으로 예쁘게 V세요,"음식을 아름답게 꾸미는 방법 표현","파슬리로 예쁘게 고명하세요.",Decoration Expression,V + beautifully + with + N,"Expression for beautifying food decoration","Garnish beautifully with parsley.",装飾表現,Nで美しくVてください,"食べ物を美しく飾る方法表現","パセリで美しく飾ってください。",装饰表达,用N + 美丽地V,"美丽装饰食物的方法表达","用欧芹美丽地装饰。",Expresión de Decoración,V + bellamente + con + N,"Expresión para decorar comida bellamente","Decora bellamente con perejil.",고명하다,garnish,飾る,装饰,decorar
food_flour_ingredient,food,ingredients,basic,"casual,shopping",question,재료 보유 문의,N이/가 충분히 있나요?,"필요한 재료의 보유량을 묻는 의문문 패턴","밀가루가 충분히 있나요?",Ingredient Availability Inquiry,Do we have enough + N?,"Question pattern asking about availability of needed ingredients","Do we have enough flour?",材料保有問い合わせ,Nは十分ありますか？,"必要な材料の保有量を尋ねる疑問文パターン","小麦粉は十分ありますか？",食材拥有询问,N够吗？,"询问所需食材拥有量的疑问句模式","面粉够吗？",Consulta de Disponibilidad de Ingredientes,¿Tenemos suficiente + N?,"Patrón de pregunta sobre disponibilidad de ingredientes necesarios","¿Tenemos suficiente harina?",밀가루,flour,小麦粉,面粉,harina
food_salt_ingredient,food,ingredients,basic,"casual,shopping",request,양 조절 요청,N을/를 양 더 V아/어 주세요,"조미료의 양을 조절하는 요청 패턴","소금을 조금 더 넣어 주세요.",Amount Control Request,Please add + amount + more + N,"Request pattern for adjusting seasoning amount","Please add a little more salt.",量調節依頼,Nを量もっとVてください,"調味料の量を調節する依頼パターン","塩をもう少し入れてください。",调节量请求,请多加一点N,"调节调味料量的请求模式","请多加一点盐。",Solicitud de Control de Cantidad,Por favor añade + cantidad + más de + N,"Patrón de solicitud para ajustar cantidad de condimento","Por favor añade un poco más de sal.",소금,salt,塩,盐,sal
food_sugar_ingredient,food,ingredients,basic,"casual,shopping",request,구체적 양 지시,N에 N을/를 단위 V아/어 주세요,"음료에 첨가물의 구체적 양을 지시하는 패턴","커피에 설탕을 두 스푼 넣어 주세요.",Specific Amount Instruction,Add + amount + N + to + N,"Pattern instructing specific amount of additive to beverage","Add two spoons of sugar to coffee.",具体的量指示,NにNを単位Vてください,"飲み物に添加物の具体的量を指示するパターン","コーヒーに砂糖を2スプーン入れてください。",具体量指示,在N里加单位的N,"指示在饮料中添加具体量添加物的模式","在咖啡里加两勺糖。",Instrucción de Cantidad Específica,Añade + cantidad + N + a + N,"Patrón instruyendo cantidad específica de aditivo a bebida","Añade dos cucharadas de azúcar al café.",설탕,sugar,砂糖,糖,azúcar
