concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
travel_bread_food,travel,sightseeing,advanced,formal,question,오늘 빵에 대해 배웠습니다.,I learned about bread today.,빵_日本語について話しましょう,我们来谈论빵_中文,Hablemos sobre 빵_español,빵,bread,빵_日本語,빵_中文,빵_español
shopping_computer_device,shopping,payment,basic,formal,question,오늘 컴퓨터에 대해 배웠습니다.,I learned about computer today.,컴퓨터_日本語について話しましょう,我们来谈论컴퓨터_中文,Hablemos sobre 컴퓨터_español,컴퓨터,computer,컴퓨터_日本語,컴퓨터_中文,컴퓨터_español
shopping_park_place,shopping,store,intermediate,formal,greeting,오늘 공원에 대해 배웠습니다.,I learned about park today.,공원_日本語について話しましょう,我们来谈论공원_中文,Hablemos sobre 공원_español,공원,park,공원_日本語,공원_中文,공원_español
nature_cat_animal,nature,weather,advanced,formal,question,오늘 고양이에 대해 배웠습니다.,I learned about cat today.,고양이_日本語について話しましょう,我们来谈论고양이_中文,Hablemos sobre 고양이_español,고양이,cat,고양이_日本語,고양이_中文,고양이_español
health_doctor_profession,health,fitness,intermediate,formal,greeting,오늘 의사에 대해 배웠습니다.,I learned about doctor today.,의사_日本語について話しましょう,我们来谈论의사_中文,Hablemos sobre 의사_español,의사,doctor,의사_日本語,의사_中文,의사_español
daily_sky_space,daily,routine,advanced,formal,question,오늘 하늘에 대해 배웠습니다.,I learned about sky today.,하늘_日本語について話しましょう,我们来谈论하늘_中文,Hablemos sobre 하늘_español,하늘,sky,하늘_日本語,하늘_中文,하늘_español
food_plane_transport,food,drink,intermediate,formal,question,오늘 비행기에 대해 배웠습니다.,I learned about plane today.,비행기_日本語について話しましょう,我们来谈论비행기_中文,Hablemos sobre 비행기_español,비행기,plane,비행기_日本語,비행기_中文,비행기_español
health_pencil_tool,health,body,intermediate,formal,question,오늘 연필에 대해 배웠습니다.,I learned about pencil today.,연필_日本語について話しましょう,我们来谈论연필_中文,Hablemos sobre 연필_español,연필,pencil,연필_日本語,연필_中文,연필_español
travel_car_transport,travel,sightseeing,intermediate,formal,question,새 자동차를 구매했습니다.,I bought a new car.,자동차_日本語について話しましょう,我们来谈论자동차_中文,Hablemos sobre 자동차_español,자동차,car,자동차_日本語,자동차_中文,자동차_español
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '안녕하세요'라고 말했어요.,This morning I said 'Hello' to my neighbor at home.,今朝、家で안녕하세요_日本語と声をかけました。,今天早上在家对家人说了안녕하세요_中文。,Esta mañana en casa dije 안녕하세요_español.,안녕하세요,Hello,안녕하세요_日本語,안녕하세요_中文,안녕하세요_español
daily_hi_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '안녕'라고 말했어요.,This morning I said 'Hi' to my neighbor at home.,今朝、家で안녕_日本語と声をかけました。,今天早上在家对家人说了안녕_中文。,Esta mañana en casa dije 안녕_español.,안녕,Hi,안녕_日本語,안녕_中文,안녕_español
daily_hey_there_casual_call,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '안녕 거기'라고 말했어요.,This morning I said 'Hey there' to my neighbor at home.,今朝、家で안녕 거기_日本語と声をかけました。,今天早上在家对家人说了안녕 거기_中文。,Esta mañana en casa dije 안녕 거기_español.,안녕 거기,Hey there,안녕 거기_日本語,안녕 거기_中文,안녕 거기_español
daily_good_morning_morning_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '좋은 아침이에요'라고 말했어요.,This morning I said 'Good morning' to my neighbor at home.,今朝、家で좋은 아침이에요_日本語と声をかけました。,今天早上在家对家人说了좋은 아침이에요_中文。,Esta mañana en casa dije 좋은 아침이에요_español.,좋은 아침이에요,Good morning,좋은 아침이에요_日本語,좋은 아침이에요_中文,좋은 아침이에요_español
daily_good_afternoon_afternoon_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '좋은 오후예요'라고 말했어요.,This morning I said 'Good afternoon' to my neighbor at home.,今朝、家で좋은 오후예요_日本語と声をかけました。,今天早上在家对家人说了좋은 오후예요_中文。,Esta mañana en casa dije 좋은 오후예요_español.,좋은 오후예요,Good afternoon,좋은 오후예요_日本語,좋은 오후예요_中文,좋은 오후예요_español
daily_good_evening_evening_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '좋은 저녁이에요'라고 말했어요.,This morning I said 'Good evening' to my neighbor at home.,今朝、家で좋은 저녁이에요_日本語と声をかけました。,今天早上在家对家人说了좋은 저녁이에요_中文。,Esta mañana en casa dije 좋은 저녁이에요_español.,좋은 저녁이에요,Good evening,좋은 저녁이에요_日本語,좋은 저녁이에요_中文,좋은 저녁이에요_español
daily_good_night_night_wish,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '좋은 밤 되세요'라고 말했어요.,This morning I said 'Good night' to my neighbor at home.,今朝、家で좋은 밤 되세요_日本語と声をかけました。,今天早上在家对家人说了좋은 밤 되세요_中文。,Esta mañana en casa dije 좋은 밤 되세요_español.,좋은 밤 되세요,Good night,좋은 밤 되세요_日本語,좋은 밤 되세요_中文,좋은 밤 되세요_español
daily_welcome_welcome,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '환영합니다'라고 말했어요.,This morning I said 'Welcome' to my neighbor at home.,今朝、家で환영합니다_日本語と声をかけました。,今天早上在家对家人说了환영합니다_中文。,Esta mañana en casa dije 환영합니다_español.,환영합니다,Welcome,환영합니다_日本語,환영합니다_中文,환영합니다_español
daily_long_time_no_see_reunion_greeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '오랜만이에요'라고 말했어요.,This morning I said 'Long time no see' to my neighbor at home.,今朝、家で오랜만이에요_日本語と声をかけました。,今天早上在家对家人说了오랜만이에요_中文。,Esta mañana en casa dije 오랜만이에요_español.,오랜만이에요,Long time no see,오랜만이에요_日本語,오랜만이에요_中文,오랜만이에요_español
daily_nice_to_meet_you_first_meeting,daily,routine,basic,"casual,home",greeting,오늘 집에서 이웃에게 '만나서 반가워요'라고 말했어요.,This morning I said 'Nice to meet you' to my neighbor at home.,今朝、家で만나서 반가워요_日本語と声をかけました。,今天早上在家对家人说了만나서 반가워요_中文。,Esta mañana en casa dije 만나서 반가워요_español.,만나서 반가워요,Nice to meet you,만나서 반가워요_日本語,만나서 반가워요_中文,만나서 반가워요_español
