concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
daily_hello_greeting,daily,routine,basic,👋,#4CAF50,"casual,home",greeting,안녕,an-nyeong,인사할 때 쓰는 말,감탄사,안녕하세요,안녕히가세요,인사말,안녕하세요,안녕하다,hello,/həˈloʊ/,a greeting,interjection,hi,goodbye,greetings,hello world,say hello,你好,nǐ hǎo,问候语,感叹词,您好,再见,问候,打招呼,问好,こんにちは,konnichiwa,挨拶の言葉,感動詞,おはよう,さようなら,挨拶,挨拶言葉,挨拶する,hola,ˈola,saludo,interjección,buenas,adiós,saludos,decir hola,saludar,안녕! 잘 지냈어?,Hello! How have you been?,你好！最近怎么样？,こんにちは！元気でしたか？,¡Hola! ¿Cómo has estado?
daily_family_relationship,daily,family,basic,👨‍👩‍👧‍👦,#FF6B6B,"home,social",description,가족,ga-jok,혈연관계로 이루어진 집단,명사,식구,타인,가족관계,가족구성원,행복한 가족,family,/ˈfæməli/,group of related people,noun,relatives,strangers,kinship,family tree,happy family,家庭,jiātíng,血缘关系的群体,名词,家人,陌生人,家族,家庭成员,幸福家庭,家族,kazoku,血縁関係の集団,名詞,家人,他人,親族,家族構成員,幸せな家族,familia,faˈmilja,grupo de personas relacionadas,sustantivo,parientes,extraños,parentesco,árbol familiar,familia feliz,우리 가족은 네 명이에요,Our family has four members,我们家有四口人,私たちの家族は4人です,Nuestra familia tiene cuatro miembros
daily_morning_time,daily,routine,basic,⏰,#FFA500,"casual,home",description,아침,a-chim,하루가 시작되는 시간,명사,새벽,저녁,시간,아침식사,상쾌한 아침,morning,/ˈmɔːrnɪŋ/,early part of the day,noun,dawn,evening,time,morning coffee,fresh morning,早晨,zǎochén,一天开始的时间,名词,清晨,晚上,时间,早餐,清新的早晨,朝,asa,一日の始まりの時間,名詞,朝方,夕方,時間,朝食,爽やかな朝,mañana,maˈɲana,parte temprana del día,sustantivo,amanecer,tarde,tiempo,café matutino,mañana fresca,오늘 아침에 일찍 일어났어요,I woke up early this morning,今天早上我起得很早,今朝早く起きました,Me desperté temprano esta mañana
daily_home_place,daily,household,basic,🏠,#4CAF50,"home,casual",description,집,jip,사람이 거주하는 건물,명사,가정,밖,주거,집안일,따뜻한 집,home,/hoʊm/,place where one lives,noun,house,outside,dwelling,homework,warm home,家,jiā,人居住的地方,名词,住宅,外面,居所,家务,温暖的家,家,ie,人が住む建物,名詞,住宅,外,住居,家事,暖かい家,casa,ˈkasa,lugar donde vive una persona,sustantivo,hogar,afuera,vivienda,tarea doméstica,casa cálida,집에서 편안하게 쉬고 있어요,I'm resting comfortably at home,我在家里舒服地休息,家で快適に休んでいます,Estoy descansando cómodamente en casa
daily_smile_emotion,daily,emotions,basic,😊,#FFEB3B,"social,casual",emotion,미소,mi-so,기쁨을 나타내는 얼굴 표정,명사,웃음,찡그림,표정,미소짓다,환한 미소,smile,/smaɪl/,happy facial expression,noun,grin,frown,expression,smile broadly,bright smile,微笑,wēixiào,表示快乐的面部表情,名词,笑容,皱眉,表情,微笑着,灿烂的微笑,笑顔,egao,喜びを表す表情,名詞,笑い,しかめ面,表情,笑顔を見せる,明るい笑顔,sonrisa,sonˈrisa,expresión facial feliz,sustantivo,risa,ceño,expresión,sonreír ampliamente,sonrisa brillante,친구를 보고 미소를 지었어요,I smiled when I saw my friend,看到朋友时我笑了,友達を見て笑顔になりました,Sonreí cuando vi a mi amigo
daily_school_place,daily,routine,basic,🏫,#2196F3,"formal,school",description,학교,hak-gyo,학생들이 공부하는 곳,명사,교육기관,집,교육,학교생활,좋은 학교,school,/skuːl/,place where students learn,noun,institution,home,education,school life,good school,学校,xuéxiào,学生学习的地方,名词,教育机构,家,教育,学校生活,好学校,学校,gakkō,学生が勉強する場所,名詞,教育機関,家,教育,学校生活,良い学校,escuela,esˈkwela,lugar donde estudian los estudiantes,sustantivo,institución,casa,educación,vida escolar,buena escuela,매일 학교에 가서 공부해요,I go to school every day to study,我每天去学校学习,毎日学校に行って勉強します,Voy a la escuela todos los días a estudiar
daily_food_need,daily,household,basic,🍚,#FF9800,"home,casual",description,밥,bap,주식으로 먹는 음식,명사,식사,간식,음식,밥먹다,맛있는 밥,rice,/raɪs/,staple food grain,noun,meal,snack,food,eat rice,delicious rice,米饭,mǐfàn,主食,名词,餐食,零食,食物,吃饭,美味的米饭,ご飯,gohan,主食となる食べ物,名詞,食事,おやつ,食べ物,ご飯を食べる,美味しいご飯,arroz,aˈros,alimento básico,sustantivo,comida,merienda,alimento,comer arroz,arroz delicioso,점심 밥을 먹었어요,I had lunch,我吃了午饭,昼ご飯を食べました,Almorcé
daily_friend_relationship,daily,relationships,basic,👫,#E91E63,"social,casual",description,친구,chin-gu,가까운 사이의 사람,명사,동료,적,관계,친구사귀기,좋은 친구,friend,/frɛnd/,close companion,noun,buddy,enemy,relationship,make friends,good friend,朋友,péngyǒu,亲近的人,名词,伙伴,敌人,关系,交朋友,好朋友,友達,tomodachi,親しい仲の人,名詞,仲間,敵,関係,友達作り,良い友達,amigo,aˈmiɣo,persona cercana,sustantivo,compañero,enemigo,relación,hacer amigos,buen amigo,친구와 함께 놀러 갔어요,I went out to play with my friend,我和朋友一起出去玩,友達と一緒に遊びに行きました,Salí a jugar con mi amigo
daily_water_need,daily,household,basic,💧,#03A9F4,"home,casual",description,물,mul,마시는 액체,명사,음료,음식,액체,물마시기,깨끗한 물,water,/ˈwɔːtər/,clear liquid,noun,liquid,solid,fluid,drink water,clean water,水,shuǐ,清澈的液体,名词,液体,固体,流体,喝水,干净的水,水,mizu,透明な液体,名詞,液体,固体,流体,水を飲む,きれいな水,agua,ˈaɣwa,líquido transparente,sustantivo,líquido,sólido,fluido,beber agua,agua limpia,목이 말라서 물을 마셨어요,I drank water because I was thirsty,我因为渴了喝了水,喉が渇いたので水を飲みました,Bebí agua porque tenía sed
daily_sleep_activity,daily,routine,basic,😴,#9C27B0,"home,casual",description,잠,jam,의식을 잃고 쉬는 상태,명사,수면,깨어남,휴식,잠자기,깊은 잠,sleep,/sliːp/,state of rest,noun,slumber,wake,rest,go to sleep,deep sleep,睡觉,shuìjiào,休息状态,名词,睡眠,醒来,休息,去睡觉,深度睡眠,眠り,nemuri,意識を失って休む状態,名詞,睡眠,目覚め,休息,眠る,深い眠り,sueño,ˈsweɲo,estado de descanso,sustantivo,dormir,despertar,descanso,ir a dormir,sueño profundo,어젯밤에 잠을 잘 잤어요,I slept well last night,昨晚我睡得很好,昨夜よく眠れました,Anoche dormí bien
