concept_id,domain,category,difficulty,situation,purpose,korean_title,korean_structure,korean_description,korean_example,english_title,english_structure,english_description,english_example,japanese_title,japanese_structure,japanese_description,japanese_example,chinese_title,chinese_structure,chinese_description,chinese_example,spanish_title,spanish_structure,spanish_description,spanish_example,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_mother_parent,daily,family,basic,"casual,home",greeting,존댓말 사용,"[사람] + 께서","가족이나 어른에게 존경을 표현할 때 사용",엄마께서 집에 오셨어요.,Honorific expression,"[person] + honorific verb","Used to show respect to family or adults",Mother came home.,敬語使用,"[人] + れる/られる","家族や大人に敬意を表すときに使用",お母さんが家にいらっしゃいました。,敬语使用,"[人] + 敬语动词","用来向家人或长辈表示敬意",妈妈回家了。,Expresión honorífica,"[persona] + verbo respetuoso","Usado para mostrar respeto a familia o adultos",Mamá llegó a casa.,엄마,mother,お母さん,妈妈,mamá
daily_father_parent,daily,family,basic,"casual,home",greeting,가족 호칭,"아빠 + [호격조사]","가족 구성원을 부를 때 사용하는 표현",아빠가 퇴근하셨어요.,Family address,"dad + [vocative]","Expression used to address family members",Dad came home from work.,家族呼称,"お父さん + が","家族メンバーを呼ぶときに使う表現",お父さんが帰宅しました。,家庭称呼,"爸爸 + [主语标记]","用来称呼家庭成员的表达",爸爸下班回家了。,Tratamiento familiar,"papá + [marcador]","Expresión usada para dirigirse a miembros de la familia",Papá llegó del trabajo.,아빠,father,お父さん,爸爸,papá
daily_child_offspring,daily,family,basic,"casual,home",greeting,소유 관계,"우리 + [가족]","가족이나 소속을 나타낼 때 사용",우리 아이는 밝고 활발해요.,Possessive relationship,"our + [family]","Used to indicate family or belonging",Our child is bright and lively.,所有関係,"私たちの + [家族]","家族や所属を表すときに使用",私たちの子どもは明るく活発です。,所有关系,"我们的 + [家庭]","用来表示家庭或归属",我们的孩子明朗活泼。,Relación posesiva,"nuestro + [familia]","Usado para indicar familia o pertenencia",Nuestro hijo es brillante y vivaz.,아이,child,子ども,孩子,niño
daily_brother_sibling,daily,family,basic,"casual,home",greeting,형제 관계,"형 + 이/가","형제자매 관계를 나타낼 때 사용",형이 선물을 사줬어요.,Sibling relationship,"brother + [subject marker]","Used to indicate sibling relationships",My brother bought me a gift.,兄弟関係,"お兄さん + が","兄弟姉妹の関係を表すときに使用",お兄さんがプレゼントを買ってくれました。,兄弟关系,"哥哥 + [主语标记]","用来表示兄弟姐妹关系",哥哥给我买了礼物。,Relación fraternal,"hermano + [marcador de sujeto]","Usado para indicar relaciones entre hermanos",Mi hermano me compró un regalo.,형,brother,お兄さん,哥哥,hermano
daily_sister_sibling,daily,family,basic,"casual,home",greeting,나이 관계,"누나 + [조사]","나이와 성별에 따른 호칭 구분",누나는 대학생이에요.,Age relationship,"sister + [particle]","Distinction of address according to age and gender",My sister is a university student.,年齢関係,"お姉さん + は","年齢と性別による呼び方の区別",お姉さんは大学生です。,年龄关系,"姐姐 + [助词]","根据年龄和性别区分称呼",姐姐是大学生。,Relación de edad,"hermana + [partícula]","Distinción de tratamiento según edad y género",Mi hermana es estudiante universitaria.,누나,sister,お姉さん,姐姐,hermana
daily_grandmother_elderly,daily,family,intermediate,"polite,home",gratitude,높임 표현,"할머니 + 께서","연장자에 대한 특별한 존경 표현",할머니께서 건강하세요.,Honorific expression,"grandmother + honorific","Special respectful expression for elders",Grandmother is healthy.,敬語表現,"おばあちゃん + が","年長者に対する特別な敬意表現",おばあちゃんがお元気です。,尊敬表达,"奶奶 + [尊敬标记]","对长辈的特殊尊敬表达",奶奶身体健康。,Expresión honorífica,"abuela + [honorífico]","Expresión respetuosa especial para mayores",La abuela está saludable.,할머니,grandmother,おばあちゃん,奶奶,abuela
daily_grandfather_elderly,daily,family,intermediate,"polite,home",gratitude,경어법,"할아버지 + 시","어른에게 사용하는 최고 존댓말",할아버지께서 말씀하셨어요.,Honorific system,"grandfather + honorific","Highest level of respect used for elders",Grandfather spoke.,敬語法,"おじいちゃん + が","大人に使う最高の敬語",おじいちゃんがおっしゃいました。,敬语法,"爷爷 + [敬语]","对长辈使用的最高敬语",爷爷说了。,Sistema honorífico,"abuelo + [honorífico]","Nivel más alto de respeto usado para mayores",El abuelo habló.,할아버지,grandfather,おじいちゃん,爷爷,abuelo
daily_husband_spouse,daily,family,intermediate,"polite,home",description,배우자 표현,"남편 + 과/와","배우자와의 관계를 나타내는 표현",남편과 상의했어요.,Spouse expression,"husband + with","Expression indicating relationship with spouse",I consulted with my husband.,配偶者表現,"夫 + と","配偶者との関係を表す表現",夫と相談しました。,配偶表达,"丈夫 + 和","表示与配偶关系的表达",我和丈夫商量了。,Expresión conyugal,"esposo + con","Expresión que indica relación con cónyuge",Consulté con mi esposo.,남편,husband,夫,丈夫,esposo
daily_wife_spouse,daily,family,intermediate,"polite,home",description,결혼 관계,"아내 + 가","결혼한 관계를 나타내는 표현",아내가 요리를 잘해요.,Marriage relationship,"wife + [subject]","Expression indicating married relationship",My wife cooks well.,結婚関係,"妻 + が","結婚した関係を表す表現",妻が料理が上手です。,婚姻关系,"妻子 + [主语]","表示婚姻关系的表达",我妻子做饭很好。,Relación matrimonial,"esposa + [sujeto]","Expresión que indica relación matrimonial",Mi esposa cocina bien.,아내,wife,妻,妻子,esposa
daily_cousin_relative,daily,family,basic,"casual,social",question,친척 관계,"사촌 + 과/와","혈연관계를 나타내는 표현",사촌과 연락을 해요.,Relative relationship,"cousin + with","Expression indicating blood relationship",I keep in touch with my cousin.,親戚関係,"いとこ + と","血縁関係を表す表現",いとこと連絡を取ります。,亲戚关系,"表兄弟 + 和","表示血缘关系的表达",我和表兄弟联系。,Relación de parentesco,"primo + con","Expresión que indica relación sanguínea",Me mantengo en contacto con mi primo.,사촌,cousin,いとこ,表兄弟,primo
