concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
travel_bread_food,travel,sightseeing,advanced,🏠,#FF9800,formal,question,빵,빵-pronunciation,빵 정의,명사,"빵류,관련어","비빵,반대말","빵족,빵계열","빵나무,빵즙","빵을 먹다,빵을 사다",bread,/bread/,bread definition,noun,"bread type,related item","non-bread,opposite","bread family,bread group","bread tree,bread juice","eat bread,buy bread",빵_中文,빵_pinyin,빵 中文定义,名词,"빵_中文类,相关词","非빵_中文,反义词","빵_中文族,빵_中文系列","빵_中文树,빵_中文汁","吃빵_中文,买빵_中文",빵_日本語,빵_hiragana,빵 日本語定義,名詞,"빵_日本語類,関連語","非빵_日本語,反対語","빵_日本語族,빵_日本語系列","빵_日本語の木,빵_日本語ジュース","빵_日本語を食べる,빵_日本語を買う",빵_español,빵_español_pronunciation,빵 definición español,sustantivo,"빵_español tipo,artículo relacionado","no 빵_español,opuesto","familia 빵_español,grupo 빵_español","árbol de 빵_español,jugo de 빵_español","comer 빵_español,comprar 빵_español",빵는 중요한 개념입니다.,Bread is an important concept.,我使用빵_中文,빵_日本語を使います,Uso 빵_español
shopping_computer_device,shopping,payment,basic,🌳,#2196F3,formal,question,컴퓨터,컴퓨터-pronunciation,컴퓨터 정의,명사,"컴퓨터류,관련어","비컴퓨터,반대말","컴퓨터족,컴퓨터계열","컴퓨터나무,컴퓨터즙","컴퓨터을 먹다,컴퓨터을 사다",computer,/computer/,computer definition,noun,"computer type,related item","non-computer,opposite","computer family,computer group","computer tree,computer juice","eat computer,buy computer",컴퓨터_中文,컴퓨터_pinyin,컴퓨터 中文定义,名词,"컴퓨터_中文类,相关词","非컴퓨터_中文,反义词","컴퓨터_中文族,컴퓨터_中文系列","컴퓨터_中文树,컴퓨터_中文汁","吃컴퓨터_中文,买컴퓨터_中文",컴퓨터_日本語,컴퓨터_hiragana,컴퓨터 日本語定義,名詞,"컴퓨터_日本語類,関連語","非컴퓨터_日本語,反対語","컴퓨터_日本語族,컴퓨터_日本語系列","컴퓨터_日本語の木,컴퓨터_日本語ジュース","컴퓨터_日本語を食べる,컴퓨터_日本語を買う",컴퓨터_español,컴퓨터_español_pronunciation,컴퓨터 definición español,sustantivo,"컴퓨터_español tipo,artículo relacionado","no 컴퓨터_español,opuesto","familia 컴퓨터_español,grupo 컴퓨터_español","árbol de 컴퓨터_español,jugo de 컴퓨터_español","comer 컴퓨터_español,comprar 컴퓨터_español",컴퓨터는 중요한 개념입니다.,Computer is an important concept.,我使用컴퓨터_中文,컴퓨터_日本語を使います,Uso 컴퓨터_español
shopping_park_place,shopping,store,intermediate,🚗,#2196F3,formal,greeting,공원,공원-pronunciation,공원 정의,명사,"공원류,관련어","비공원,반대말","공원족,공원계열","공원나무,공원즙","공원을 먹다,공원을 사다",park,/park/,park definition,noun,"park type,related item","non-park,opposite","park family,park group","park tree,park juice","eat park,buy park",공원_中文,공원_pinyin,공원 中文定义,名词,"공원_中文类,相关词","非공원_中文,反义词","공원_中文族,공원_中文系列","공원_中文树,공원_中文汁","吃공원_中文,买공원_中文",공원_日本語,공원_hiragana,공원 日本語定義,名詞,"공원_日本語類,関連語","非공원_日本語,反対語","공원_日本語族,공원_日本語系列","공원_日本語の木,공원_日本語ジュース","공원_日本語を食べる,공원_日本語を買う",공원_español,공원_español_pronunciation,공원 definición español,sustantivo,"공원_español tipo,artículo relacionado","no 공원_español,opuesto","familia 공원_español,grupo 공원_español","árbol de 공원_español,jugo de 공원_español","comer 공원_español,comprar 공원_español",공원는 중요한 개념입니다.,Park is an important concept.,我使用공원_中文,공원_日本語を使います,Uso 공원_español
nature_cat_animal,nature,weather,advanced,🍎,#FF5722,formal,question,고양이,고양이-pronunciation,고양이 정의,명사,"고양이류,관련어","비고양이,반대말","고양이족,고양이계열","고양이나무,고양이즙","고양이을 먹다,고양이을 사다",cat,/cat/,cat definition,noun,"cat type,related item","non-cat,opposite","cat family,cat group","cat tree,cat juice","eat cat,buy cat",고양이_中文,고양이_pinyin,고양이 中文定义,名词,"고양이_中文类,相关词","非고양이_中文,反义词","고양이_中文族,고양이_中文系列","고양이_中文树,고양이_中文汁","吃고양이_中文,买고양이_中文",고양이_日本語,고양이_hiragana,고양이 日本語定義,名詞,"고양이_日本語類,関連語","非고양이_日本語,反対語","고양이_日本語族,고양이_日本語系列","고양이_日本語の木,고양이_日本語ジュース","고양이_日本語を食べる,고양이_日本語を買う",고양이_español,고양이_español_pronunciation,고양이 definición español,sustantivo,"고양이_español tipo,artículo relacionado","no 고양이_español,opuesto","familia 고양이_español,grupo 고양이_español","árbol de 고양이_español,jugo de 고양이_español","comer 고양이_español,comprar 고양이_español",고양이는 중요한 개념입니다.,Cat is an important concept.,我使用고양이_中文,고양이_日本語を使います,Uso 고양이_español
health_doctor_profession,health,fitness,intermediate,🌳,#FF9800,formal,greeting,의사,의사-pronunciation,의사 정의,명사,"의사류,관련어","비의사,반대말","의사족,의사계열","의사나무,의사즙","의사을 먹다,의사을 사다",doctor,/doctor/,doctor definition,noun,"doctor type,related item","non-doctor,opposite","doctor family,doctor group","doctor tree,doctor juice","eat doctor,buy doctor",의사_中文,의사_pinyin,의사 中文定义,名词,"의사_中文类,相关词","非의사_中文,反义词","의사_中文族,의사_中文系列","의사_中文树,의사_中文汁","吃의사_中文,买의사_中文",의사_日本語,의사_hiragana,의사 日本語定義,名詞,"의사_日本語類,関連語","非의사_日本語,反対語","의사_日本語族,의사_日本語系列","의사_日本語の木,의사_日本語ジュース","의사_日本語を食べる,의사_日本語を買う",의사_español,의사_español_pronunciation,의사 definición español,sustantivo,"의사_español tipo,artículo relacionado","no 의사_español,opuesto","familia 의사_español,grupo 의사_español","árbol de 의사_español,jugo de 의사_español","comer 의사_español,comprar 의사_español",의사는 중요한 개념입니다.,Doctor is an important concept.,我使用의사_中文,의사_日本語を使います,Uso 의사_español
daily_sky_space,daily,routine,advanced,🏠,#4CAF50,formal,question,하늘,하늘-pronunciation,하늘 정의,명사,"하늘류,관련어","비하늘,반대말","하늘족,하늘계열","하늘나무,하늘즙","하늘을 먹다,하늘을 사다",sky,/sky/,sky definition,noun,"sky type,related item","non-sky,opposite","sky family,sky group","sky tree,sky juice","eat sky,buy sky",하늘_中文,하늘_pinyin,하늘 中文定义,名词,"하늘_中文类,相关词","非하늘_中文,反义词","하늘_中文族,하늘_中文系列","하늘_中文树,하늘_中文汁","吃하늘_中文,买하늘_中文",하늘_日本語,하늘_hiragana,하늘 日本語定義,名詞,"하늘_日本語類,関連語","非하늘_日本語,反対語","하늘_日本語族,하늘_日本語系列","하늘_日本語の木,하늘_日本語ジュース","하늘_日本語を食べる,하늘_日本語を買う",하늘_español,하늘_español_pronunciation,하늘 definición español,sustantivo,"하늘_español tipo,artículo relacionado","no 하늘_español,opuesto","familia 하늘_español,grupo 하늘_español","árbol de 하늘_español,jugo de 하늘_español","comer 하늘_español,comprar 하늘_español",하늘는 중요한 개념입니다.,Sky is an important concept.,我使用하늘_中文,하늘_日本語を使います,Uso 하늘_español
food_plane_transport,food,drink,intermediate,🚗,#FF9800,formal,question,비행기,비행기-pronunciation,비행기 정의,명사,"비행기류,관련어","비비행기,반대말","비행기족,비행기계열","비행기나무,비행기즙","비행기을 먹다,비행기을 사다",plane,/plane/,plane definition,noun,"plane type,related item","non-plane,opposite","plane family,plane group","plane tree,plane juice","eat plane,buy plane",비행기_中文,비행기_pinyin,비행기 中文定义,名词,"비행기_中文类,相关词","非비행기_中文,反义词","비행기_中文族,비행기_中文系列","비행기_中文树,비행기_中文汁","吃비행기_中文,买비행기_中文",비행기_日本語,비행기_hiragana,비행기 日本語定義,名詞,"비행기_日本語類,関連語","非비행기_日本語,反対語","비행기_日本語族,비행기_日本語系列","비행기_日本語の木,비행기_日本語ジュース","비행기_日本語を食べる,비행기_日本語を買う",비행기_español,비행기_español_pronunciation,비행기 definición español,sustantivo,"비행기_español tipo,artículo relacionado","no 비행기_español,opuesto","familia 비행기_español,grupo 비행기_español","árbol de 비행기_español,jugo de 비행기_español","comer 비행기_español,comprar 비행기_español",비행기는 중요한 개념입니다.,Plane is an important concept.,我使用비행기_中文,비행기_日本語を使います,Uso 비행기_español
health_pencil_tool,health,body,intermediate,🍎,#2196F3,formal,question,연필,연필-pronunciation,연필 정의,명사,"연필류,관련어","비연필,반대말","연필족,연필계열","연필나무,연필즙","연필을 먹다,연필을 사다",pencil,/pencil/,pencil definition,noun,"pencil type,related item","non-pencil,opposite","pencil family,pencil group","pencil tree,pencil juice","eat pencil,buy pencil",연필_中文,연필_pinyin,연필 中文定义,名词,"연필_中文类,相关词","非연필_中文,反义词","연필_中文族,연필_中文系列","연필_中文树,연필_中文汁","吃연필_中文,买연필_中文",연필_日本語,연필_hiragana,연필 日本語定義,名詞,"연필_日本語類,関連語","非연필_日本語,反対語","연필_日本語族,연필_日本語系列","연필_日本語の木,연필_日本語ジュース","연필_日本語を食べる,연필_日本語を買う",연필_español,연필_español_pronunciation,연필 definición español,sustantivo,"연필_español tipo,artículo relacionado","no 연필_español,opuesto","familia 연필_español,grupo 연필_español","árbol de 연필_español,jugo de 연필_español","comer 연필_español,comprar 연필_español",연필는 중요한 개념입니다.,Pencil is an important concept.,我使用연필_中文,연필_日本語を使います,Uso 연필_español
travel_car_transport,travel,sightseeing,intermediate,🍎,#4CAF50,formal,question,자동차,자동차-pronunciation,자동차 정의,명사,"자동차류,관련어","비자동차,반대말","자동차족,자동차계열","자동차나무,자동차즙","자동차을 먹다,자동차을 사다",car,/car/,car definition,noun,"car type,related item","non-car,opposite","car family,car group","car tree,car juice","eat car,buy car",자동차_中文,자동차_pinyin,자동차 中文定义,名词,"자동차_中文类,相关词","非자동차_中文,反义词","자동차_中文族,자동차_中文系列","자동차_中文树,자동차_中文汁","吃자동차_中文,买자동차_中文",자동차_日本語,자동차_hiragana,자동차 日本語定義,名詞,"자동차_日本語類,関連語","非자동차_日本語,反対語","자동차_日本語族,자동차_日本語系列","자동차_日本語の木,자동차_日本語ジュース","자동차_日本語を食べる,자동차_日本語を買う",자동차_español,자동차_español_pronunciation,자동차 definición español,sustantivo,"자동차_español tipo,artículo relacionado","no 자동차_español,opuesto","familia 자동차_español,grupo 자동차_español","árbol de 자동차_español,jugo de 자동차_español","comer 자동차_español,comprar 자동차_español",자동차는 편리한 교통수단입니다.,A car is a convenient means of transportation.,我使用자동차_中文,자동차_日本語を使います,Uso 자동차_español
daily_hello_greeting,daily,routine,basic,⏰,#4CAF50,"casual,home",greeting,안녕하세요,안녕하세요-pronunciation,안녕하세요 정의,감탄사,"안녕하세요류,관련어","비안녕하세요,반대말","안녕하세요족,안녕하세요계열","안녕하세요표현,안녕하세요말","안녕하세요를 말하다,안녕하세요를 건네다",Hello,/hello/,Hello definition,interjection,"Hello type,related item","non-Hello,opposite","Hello family,Hello group","Hello phrase,Hello greeting","say Hello,offer Hello",안녕하세요_中文,안녕하세요_pinyin,안녕하세요 中文定义,名词,"안녕하세요_中文类,相关词","非안녕하세요_中文,反义词","안녕하세요_中文族,안녕하세요_中文系列","안녕하세요_中文表达,안녕하세요_中文用语","说안녕하세요_中文,用안녕하세요_中文问候",안녕하세요_日本語,안녕하세요_hiragana,안녕하세요 日本語定義,名詞,"안녕하세요_日本語類,関連語","非안녕하세요_日本語,反対語","안녕하세요_日本語族,안녕하세요_日本語系列","안녕하세요_日本語表現,안녕하세요_日本語用語","안녕하세요_日本語を言う,안녕하세요_日本語で挨拶する",안녕하세요_español,안녕하세요_español_pronunciación,안녕하세요 definición español,sustantivo,"안녕하세요_español tipo,expresión relacionada","no 안녕하세요_español,opuesto","familia 안녕하세요_español,grupo 안녕하세요_español","saludo de 안녕하세요_español,frase de 안녕하세요_español","decir 안녕하세요_español,ofrecer 안녕하세요_español",아침에는 '안녕하세요'라고 인사합니다.,People often say 'Hello' as a basic greeting.,我们在家里说안녕하세요_中文。,家で안녕하세요_日本語と挨拶しました。,En casa dijimos 안녕하세요_español.
