concept_id,domain,category,difficulty,situation,purpose,korean,english,japanese,chinese,spanish,korean_word,english_word,japanese_word,chinese_word,spanish_word
daily_hello_greeting,daily,routine,basic,"casual,home",greeting,"안녕하세요! 오늘 하루 어떻게 보내셨어요?","Hello! How did you spend your day today?","こんにちは！今日一日いかがお過ごしでしたか？","你好！你今天过得怎么样？","¡Hola! ¿Cómo pasaste el día hoy?",안녕,hello,こんにちは,你好,hola
daily_family_relationship,daily,family,basic,"home,social",description,"우리 가족은 모두 건강하고 행복해요.","Our family is all healthy and happy.","私たちの家族はみんな健康で幸せです。","我们一家人都很健康快乐。","Nuestra familia está toda sana y feliz.",가족,family,家族,家庭,familia
daily_morning_time,daily,routine,basic,"casual,home",description,"매일 아침 6시에 일어나서 운동을 해요.","I wake up at 6 AM every morning and exercise.","毎朝6時に起きて運動をします。","我每天早上6点起床锻炼。","Me levanto a las 6 AM todas las mañanas y hago ejercicio.",아침,morning,朝,早晨,mañana
daily_home_place,daily,household,basic,"home,casual",description,"집에서 가족들과 저녁을 먹고 있어요.","I'm having dinner with my family at home.","家で家族と夕食を食べています。","我在家和家人一起吃晚饭。","Estoy cenando con mi familia en casa.",집,home,家,家,casa
daily_smile_emotion,daily,emotions,basic,"social,casual",emotion,"친구의 농담에 웃음이 나왔어요.","I couldn't help but smile at my friend's joke.","友達の冗談に笑ってしまいました。","朋友的笑话让我笑了。","No pude evitar sonreír con la broma de mi amigo.",미소,smile,笑顔,微笑,sonrisa
daily_school_place,daily,routine,basic,"formal,school",description,"학교에서 새로운 친구를 사귀었어요.","I made new friends at school.","学校で新しい友達を作りました。","我在学校交了新朋友。","Hice nuevos amigos en la escuela.",학교,school,学校,学校,escuela
daily_food_need,daily,household,basic,"home,casual",description,"어머니가 만든 맛있는 밥을 먹었어요.","I ate delicious rice made by my mother.","お母さんが作った美味しいご飯を食べました。","我吃了妈妈做的美味米饭。","Comí arroz delicioso hecho por mi madre.",밥,rice,ご飯,米饭,arroz
daily_friend_relationship,daily,relationships,basic,"social,casual",description,"오랜만에 친구를 만나서 반가웠어요.","I was happy to meet my friend after a long time.","久しぶりに友達に会えて嬉しかったです。","很久没见朋友了，很高兴。","Me alegré de ver a mi amigo después de mucho tiempo.",친구,friend,友達,朋友,amigo
daily_water_need,daily,household,basic,"home,casual",description,"운동 후에 시원한 물을 마셨어요.","I drank cool water after exercising.","運動の後に冷たい水を飲みました。","运动后我喝了凉水。","Bebí agua fresca después de hacer ejercicio.",물,water,水,水,agua
daily_sleep_activity,daily,routine,basic,"home,casual",description,"밤 11시에 잠자리에 들어요.","I go to bed at 11 PM.","夜11時に就寝します。","我晚上11点睡觉。","Me voy a la cama a las 11 PM.",잠,sleep,眠り,睡觉,sueño
