concept_id,domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,spanish_word,spanish_pronunciation,spanish_definition,spanish_pos,spanish_synonyms,spanish_antonyms,spanish_word_family,spanish_compound_words,spanish_collocations,korean_example,english_example,chinese_example,japanese_example,spanish_example
daily_goodmorning_greeting,daily,routine,basic,🌅,#4CAF50,"casual,home",greeting,좋은 아침,jo-eun-a-chim,아침에 하는 인사,감탄사,"안녕하세요,안녕",잘 가요,"인사,아침","아침 인사,조간 인사","상쾌한 아침,이른 아침",good morning,/ɡʊd ˈmɔːrnɪŋ/,morning greeting,interjection,"hi,hello","bye,goodbye","greeting,morning","morning greeting,early morning","fresh morning,early morning",早上好,zao shang hao,早上的问候语,感叹词,"你好,早安","再见,拜拜","问候,早晨","早安问候,早晨问候","清爽的早晨,早起",おはよう,ohayou,朝の挨拶,感動詞,"こんにちは,おはよう","さようなら,バイバイ","挨拶,朝","朝の挨拶,早朝の挨拶","爽やかな朝,早起き",buenos días,bwe-nos-di-as,saludo matutino,interjección,"hola,buenos días","adiós,chao","saludo,mañana","saludo matutino,saludo temprano","mañana fresca,temprano",좋은 아침입니다,Good morning!,早上好！,おはよう！,¡Buenos días!
daily_hello_greeting,daily,routine,basic,👋,#4CAF50,"casual,home",greeting,안녕하세요,an-nyeong-ha-se-yo,기본적인 인사,감탄사,"안녕,반가워요",잘 가요,"인사,안부","안녕 인사,일상 인사","반가운 인사,정중한 인사",hello,/həˈləʊ/,basic greeting,interjection,"hi,greetings","bye,goodbye","greeting,welcome","hello there,hello friend","warm hello,friendly hello",你好,ni hao,基本问候语,感叹词,"哈喽,嗨","再见,拜拜","问候,欢迎","你好啊,你好吗","热情问候,友好问候",こんにちは,konnichiwa,基本の挨拶,感動詞,"やあ,ハロー","さようなら,バイバイ","挨拶,歓迎","こんにちは,お元気ですか","温かい挨拶,友好的な挨拶",hola,o-la,saludo básico,interjección,"saludos,qué tal","adiós,chao","saludo,bienvenida","hola amigo,hola qué tal","saludo cálido,saludo amistoso",만나서 반갑습니다,Hello! Nice to meet you!,很高兴见到你！,お会いできて嬉しいです！,¡Hola! ¡Encantado de conocerte!
daily_howareyou_greeting,daily,routine,basic,🤔,#4CAF50,"casual,home",greeting,어떠세요,eo-tteo-se-yo,상대방의 안부를 묻는 인사,감탄사,"잘 지내요,안녕하세요",나빠요,"인사,안부","안부 인사,일상 인사","안부 묻기,건강 묻기",how are you,/haʊ ɑːr juː/,asking about wellbeing,interjection,"how do you do,hello","bad,unwell","greeting,wellbeing","asking wellbeing,daily greeting","checking health,morning greeting",你好吗,ni hao ma,问候对方的问候语,感叹词,"你好,近来如何","不好,不行","问候,安好","问候语,日常问候","问候安好,健康问候",お元気ですか,ogenki desuka,相手の調子を尋ねる挨拶,感動詞,"こんにちは,元気","悪い,不調","挨拶,安否","安否問候,日常挨拶","元気確認,健康確認",¿cómo estás?,ko-mo-es-tas,preguntando por el bienestar,interjección,"hola,qué tal","mal,enfermo","saludo,bienestar","saludo diario,pregunta de salud","chequeando salud,pregunta matutina",잘 지내시나요?,How are you doing?,你好吗？,お元気ですか？,¿Cómo estás?
daily_sleep_greeting,daily,routine,basic,😴,#4CAF50,"casual,home",greeting,잘 자요,jal-ja-yo,취침 전 인사,감탄사,"안녕히 주무세요,굿나잇",안녕히 계세요,"인사,취침","저녁 인사,취침 인사","편안한 밤,좋은 꿈",good night,/ɡʊd naɪt/,bedtime greeting,interjection,"night,sleep well","good morning,wake up","greeting,night","good dreams,sweet dreams","peaceful night,restful sleep",晚安,wan an,睡前问候语,感叹词,"睡好,安息","早安,起床","问候,晚上","晚安问候,睡前问候","安睡,好梦",おやすみなさい,oyasuminasai,就寝前の挨拶,感動詞,"おやすみ,お休み","おはよう,起きる","挨拶,夜","就寝挨拶,夜の挨拶","安らかな夜,良い夢",buenas noches,bwe-nas-no-ches,saludo antes de dormir,interjección,"dulces sueños,que descanses","buenos días,despertar","saludo,noche","dulces sueños,buenas noches","noche tranquila,buen descanso",편안히 주무세요,Good night! Sleep well!,晚安！做个好梦！,おやすみなさい！良い夢を！,¡Buenas noches! ¡Que duermas bien!
daily_wake_greeting,daily,routine,basic,⏰,#4CAF50,"casual,home",greeting,일어나세요,i-reo-na-se-yo,기상 시 인사,동사,"기상,기침",자다,"인사,기상","아침 기상,이른 기상","상쾌한 아침,새로운 하루",wake up,/weɪk ʌp/,morning wake greeting,verb,"rise,get up","sleep,rest","greeting,morning","early rise,morning routine","fresh start,new day",起床了,qi chuang le,起床时的问候语,动词,"醒来,起来","睡觉,休息","问候,早晨","早起,晨起","清新早晨,新的一天",起きてください,okite kudasai,起床時の挨拶,動詞,"目覚め,起床","寝る,休む","挨拶,朝","早起き,朝の準備","爽やかな朝,新しい一日",¡despierta!,des-pi-er-ta,saludo al despertar,verbo,"levántate,arriba","dormir,descansar","saludo,mañana","despertar temprano,rutina matutina","inicio fresco,nuevo día",좋은 아침이에요,Wake up! It's morning!,该起床了！,起きる時間です！,¡Despierta! ¡Ya es de mañana!
daily_welcome_greeting,daily,routine,basic,🤗,#4CAF50,"casual,home",greeting,환영해요,hwan-yeong-hae-yo,환영의 인사,동사,"반가워요,맞이해요",배웅해요,"인사,환영","환영 인사,환영 표현","따뜻한 환영,진심 어린 환영",welcome,/ˈwelkəm/,welcoming greeting,verb,"greet,receive","farewell,goodbye","greeting,welcome","warm welcome,hearty welcome","sincere welcome,warm reception",欢迎,huan ying,欢迎的问候语,动词,"迎接,接待","送别,再见","问候,欢迎","热烈欢迎,真诚欢迎","热情接待,诚挚欢迎",ようこそ,youkoso,歓迎の挨拶,動詞,"迎える,歓迎する","見送る,さようなら","挨拶,歓迎","温かい歓迎,心からの歓迎","誠実な歓迎,温かい受け入れ",bienvenido,bien-ve-ni-do,saludo de bienvenida,verbo,"recibir,acoger","despedir,adiós","saludo,bienvenida","cálida bienvenida,cordial bienvenida","sincera bienvenida,cálida recepción",우리 집에 오신 것을 환영합니다,Welcome to our home!,欢迎来到我们家！,私たちの家へようこそ！,¡Bienvenido a nuestra casa!
daily_thanks_greeting,daily,routine,basic,🙏,#4CAF50,"casual,home",greeting,감사합니다,gam-sa-ham-ni-da,감사의 인사,감탄사,"고마워요,감사해요",싫어요,"인사,감사","감사 인사,감사 표현","진심 어린 감사,마음 담은 감사",thank you,/θæŋk juː/,gratitude expression,interjection,"thanks,grateful","hate,dislike","greeting,gratitude","sincere thanks,heartfelt thanks","deep gratitude,warm thanks",谢谢,xie xie,感谢的问候语,感叹词,"感谢,谢意","讨厌,不喜欢","问候,感谢","真诚感谢,衷心感谢","深深感谢,温暖谢意",ありがとう,arigatou,感謝の挨拶,感動詞,"感謝,お礼","嫌い,不快","挨拶,感謝","心からの感謝,お礼の言葉","深い感謝,温かい感謝",gracias,gra-si-as,expresión de gratitud,interjección,"agradecido,dar gracias","odiar,disgustar","saludo,gratitud","gracias sinceras,gracias cordiales","profunda gratitud,cálido agradecimiento",정말 감사드립니다,Thank you very much!,非常感谢！,本当にありがとうございます！,¡Muchas gracias!
daily_sorry_greeting,daily,routine,basic,😅,#4CAF50,"casual,home",greeting,죄송합니다,joe-song-ham-ni-da,사과의 인사,감탄사,"미안해요,실례합니다",괜찮아요,"인사,사과","사과 인사,사과 표현","진심 어린 사과,정중한 사과",sorry,/ˈsɒri/,apology expression,interjection,"apologize,excuse me","okay,fine","greeting,apology","sincere apology,formal apology","deep regret,heartfelt apology",对不起,dui bu qi,道歉的问候语,感叹词,"抱歉,不好意思","没关系,好的","问候,道歉","诚恳道歉,正式道歉","深深歉意,诚挚歉意",すみません,sumimasen,謝罪の挨拶,感動詞,"ごめんなさい,申し訳ない","大丈夫,いいよ","挨拶,謝罪","心からのお詫び,丁寧な謝罪","深いお詫び,誠実な謝罪",lo siento,lo-si-en-to,expresión de disculpa,interjección,"perdón,discúlpame","está bien,no pasa nada","saludo,disculpa","disculpa sincera,disculpa formal","profundo pesar,disculpa sentida",실수해서 죄송합니다,I'm sorry for my mistake.,对不起，我错了。,申し訳ありません。,Lo siento por mi error.
daily_bye_greeting,daily,routine,basic,👋,#4CAF50,"casual,home",greeting,안녕히 계세요,an-nyeong-hi-gye-se-yo,작별 인사,감탄사,"잘 가요,또 봐요",안녕하세요,"인사,작별","작별 인사,이별 인사","따뜻한 작별,정중한 작별",goodbye,/ɡʊdˈbaɪ/,farewell greeting,interjection,"bye,see you","hello,hi","greeting,farewell","warm goodbye,formal farewell","fond farewell,kind goodbye",再见,zai jian,告别的问候语,感叹词,"拜拜,回头见","你好,早安","问候,告别","温暖告别,正式告别","亲切告别,友好告别",さようなら,sayounara,別れの挨拶,感動詞,"バイバイ,また会いましょう","こんにちは,おはよう","挨拶,別れ","温かい別れ,丁寧な別れ","親切な別れ,優しい別れ",adiós,a-di-os,saludo de despedida,interjección,"chao,hasta luego","hola,buenos días","saludo,despedida","cálida despedida,despedida formal","afectuosa despedida,amable adiós",다음에 또 만나요,See you next time!,下次再见！,また会いましょう！,¡Hasta la próxima!
daily_night_greeting,daily,routine,basic,🌙,#4CAF50,"casual,home",greeting,안녕히 주무세요,an-nyeong-hi-ju-mu-se-yo,취침 전 인사,감탄사,"잘 자요,좋은 밤 되세요",일어나세요,"인사,취침","취침 인사,저녁 인사","편안한 밤,달콤한 꿈",good night,/ɡʊd naɪt/,bedtime greeting,interjection,"night,sleep tight","wake up,rise","greeting,night","night greeting,evening farewell","peaceful night,sweet dreams",晚安,wan an,睡前问候语,感叹词,"睡好觉,好梦","起床,醒来","问候,晚上","晚安问候,晚间告别","安静的夜,甜蜜的梦",おやすみ,oyasumi,就寝前の挨拶,感動詞,"お休み,よく寝て","起きて,目覚めて","挨拶,夜","夜の挨拶,夕べの別れ","静かな夜,甘い夢",buenas noches,bwe-nas-no-ches,saludo nocturno,interjección,"que descanses,dulces sueños","despertar,levantarse","saludo,noche","saludo nocturno,despedida vespertina","noche tranquila,dulces sueños",편안한 밤 되세요,Have a peaceful night!,祝你晚安！,おやすみなさい！,¡Que tengas una buena noche!
